"","X","csu_id","trap_id","year","week","trap_date","county","method","genus","spp","sex","no_gravid","no_deplete","total","test_code","seq","cq"
"42",14736,"CSU21431","FC-046",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,2,2,0,0,55.55
"43",14737,"CSU21432","FC-046",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,32,32,0,0,55.55
"44",14738,"CSU21433","LV-104",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,47,47,0,0,55.55
"45",14739,"CSU21434","LV-104",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"46",14740,"CSU21435","LV-110",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,15,15,0,0,55.55
"47",14741,"CSU21436","FC-038",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,5,5,0,0,55.55
"48",14742,"CSU21437","FC-038",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"49",14743,"CSU21438","FC-034",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,14,14,1,0,19.9423885345459
"50",14744,"CSU21439","FC-034",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,1,1,0,0,55.55
"51",14745,"CSU21440","FC-040gr",2023,34,"2023-08-22","LC","G","Cx.","Pipiens",FALSE,20,0,20,0,0,55.55
"52",14746,"CSU21441","FC-069",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,14,14,0,0,55.55
"53",14747,"CSU21442","LV-089",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"54",14748,"CSU21443","LV-089",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,16,16,0,0,55.55
"55",14749,"CSU21444","LV-089",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,50,50,0,0,55.55
"56",14750,"CSU21445","LV-089",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,26,26,1,0,26.9329032897949
"57",14751,"CSU21446","FC-040",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,6,6,0,0,55.55
"58",14752,"CSU21447","FC-040",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,6,6,0,0,55.55
"59",14753,"CSU21448","FC-036",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,10,10,0,0,55.55
"60",14754,"CSU21449","FC-036",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,3,3,0,0,55.55
"61",14755,"CSU21450","FC-006",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,2,2,0,0,55.55
"62",14756,"CSU21451","FC-006",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,1,1,0,0,55.55
"63",14757,"CSU21452","FC-092gr",2023,34,"2023-08-22","LC","G","Cx.","Pipiens",FALSE,7,0,7,0,0,55.55
"64",14758,"CSU21453","FC-072",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,13,13,0,0,55.55
"65",14759,"CSU21454","FC-072",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,1,1,1,0,25.3676815032959
"66",14760,"CSU21455","FC-091gr",2023,34,"2023-08-22","LC","G","Cx.","Pipiens",FALSE,26,0,26,1,0,36.2061653137207
"67",14761,"CSU21456","FC-067",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,2,2,0,0,55.55
"68",14762,"CSU21457","FC-019",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,4,4,0,0,55.55
"69",14763,"CSU21458","FC-019",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,1,1,0,0,55.55
"70",14764,"CSU21459","FC-066gr",2023,34,"2023-08-22","LC","G","Cx.","Tarsalis",FALSE,2,0,2,1,0,22.6043701171875
"71",14765,"CSU21460","FC-066gr",2023,34,"2023-08-22","LC","G","Cx.","Pipiens",FALSE,4,0,4,0,0,55.55
"72",14766,"CSU21461","FC-014",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"73",14767,"CSU21462","FC-014",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,14,14,0,0,55.55
"74",14768,"CSU21463","FC-014",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,50,50,0,0,55.55
"75",14769,"CSU21464","FC-066",2023,34,"2023-08-22","LC","L","Cx.","Tarsalis",FALSE,0,7,7,0,0,55.55
"76",14770,"CSU21465","FC-066",2023,34,"2023-08-22","LC","L","Cx.","Pipiens",FALSE,0,5,5,0,0,55.55
"77",14771,"CSU21466","FC-061",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,21,21,1,0,21.6761302947998
"78",14772,"CSU21467","FC-061",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,3,3,0,0,55.55
"79",14773,"CSU21468","FC-052",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,13,13,0,0,55.55
"80",14774,"CSU21469","FC-052",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,1,1,0,0,55.55
"81",14775,"CSU21470","FC-041",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,20,20,0,0,55.55
"82",14776,"CSU21471","FC-041",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,10,10,0,0,55.55
"83",14777,"CSU21472","FC-073",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,31,31,0,0,55.55
"84",14778,"CSU21473","FC-073",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,25,25,0,0,55.55
"85",14779,"CSU21474","LV-020",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,38,38,0,0,55.55
"86",14780,"CSU21475","LV-020",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,8,8,0,0,55.55
"87",14781,"CSU21476","LC-053",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,18,18,0,0,55.55
"88",14782,"CSU21477","LC-053",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,5,5,0,0,55.55
"89",14783,"CSU21478","LC-054",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"90",14784,"CSU21479","LC-054",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,2,2,0,0,55.55
"91",14785,"CSU21480","LC-054",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,35,35,0,0,55.55
"92",14786,"CSU21481","LC-049",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,33,33,1,0,22.8376998901367
"93",14787,"CSU21482","LC-049",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"94",14788,"CSU21483","FC-090gr",2023,34,"2023-08-23","LC","G","Cx.","Tarsalis",FALSE,1,0,1,0,0,55.55
"95",14789,"CSU21484","FC-090gr",2023,34,"2023-08-23","LC","G","Cx.","Pipiens",FALSE,21,0,21,1,0,27.2904815673828
"96",14790,"CSU21485","LC-001",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,50,50,1,0,19.7688522338867
"97",14791,"CSU21486","LC-001",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,10,10,0,0,55.55
"98",14792,"CSU21487","LC-001",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,17,17,0,0,55.55
"99",14793,"CSU21488","FC-060",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,20,20,0,0,55.55
"100",14794,"CSU21489","FC-060",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,3,3,0,0,55.55
"101",14795,"CSU21490","WC-055",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,50,50,1,0,28.8940048217773
"102",14796,"CSU21491","WC-055",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,25,25,1,0,20.2490310668945
"103",14797,"CSU21492","WC-055",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,12,12,0,0,55.55
"104",14798,"CSU21493","FC-011",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,1,1,1,0,35.4034271240234
"105",14799,"CSU21494","FC-011",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"106",14800,"CSU21495","FC-063gr",2023,34,"2023-08-23","LC","G","Cx.","Tarsalis",FALSE,1,0,1,0,0,55.55
"107",14801,"CSU21496","FC-063gr",2023,34,"2023-08-23","LC","G","Cx.","Pipiens",FALSE,50,0,50,1,0,28.0594024658203
"108",14802,"CSU21497","FC-063gr",2023,34,"2023-08-23","LC","G","Cx.","Pipiens",FALSE,50,0,50,0,0,55.55
"109",14803,"CSU21498","FC-063gr",2023,34,"2023-08-23","LC","G","Cx.","Pipiens",FALSE,37,0,37,0,0,55.55
"110",14804,"CSU21499","FC-015",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,4,4,0,0,55.55
"111",14805,"CSU21500","FC-058",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,8,8,0,0,55.55
"112",14806,"CSU21501","FC-058",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,3,3,0,0,55.55
"113",14807,"CSU21502","FC-063",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,11,11,0,0,55.55
"114",14808,"CSU21503","FC-063",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,4,4,0,0,55.55
"115",14809,"CSU21504","FC-049",2023,34,"2023-08-23","LC","L","Cx.","Tarsalis",FALSE,0,18,18,0,0,55.55
"116",14810,"CSU21505","FC-049",2023,34,"2023-08-23","LC","L","Cx.","Pipiens",FALSE,0,10,10,0,0,55.55
"117",14811,"CSU21506","FC-054",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,26,26,0,0,55.55
"118",14812,"CSU21507","FC-054",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,9,9,0,0,55.55
"119",14813,"CSU21508","FC-029",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"120",14814,"CSU21509","FC-029",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,10,10,0,0,55.55
"121",14815,"CSU21510","FC-029",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,3,3,0,0,55.55
"122",14816,"CSU21511","FC-001",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,39,39,0,0,55.55
"123",14817,"CSU21512","FC-001",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,27,27,0,0,55.55
"124",14818,"CSU21513","FC-057",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,9,9,0,0,55.55
"125",14819,"CSU21514","FC-037",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"126",14820,"CSU21515","FC-037",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,8,8,0,0,55.55
"127",14821,"CSU21516","FC-037",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,31,31,1,0,20.3831233978271
"128",14822,"CSU21517","FC-089gr",2023,34,"2023-08-24","LC","G","Cx.","Pipiens",FALSE,15,0,15,1,0,35.538143157959
"129",14823,"CSU21518","FC-071",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,7,7,1,0,19.3379802703857
"130",14824,"CSU21519","FC-071",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,4,4,0,0,55.55
"131",14825,"CSU21520","FC-062",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,29,29,0,0,55.55
"132",14826,"CSU21521","FC-062",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"133",14827,"CSU21522","FC-093",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,20,20,1,0,20.4892196655273
"134",14828,"CSU21523","FC-093",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"135",14829,"CSU21524","FC-068",2023,34,"2023-08-24","LC","L","Cx.","Tarsalis",FALSE,0,18,18,0,0,55.55
"136",14830,"CSU21525","FC-068",2023,34,"2023-08-24","LC","L","Cx.","Pipiens",FALSE,0,1,1,0,0,55.55
"137",14831,"CSU21526","FC-029gr",2023,34,"2023-08-24","LC","G","Cx.","Pipiens",FALSE,22,0,22,1,0,34.735897064209
