"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","seq","zone","lat","long"
"CSU-21791","FC-052",2024,23,"2024-06-05","LC","L","Pipiens",2,"0","0","0","NW","40.56163","-105.08703"
"CSU-21792","FC-061",2024,23,"2024-06-05","LC","L","Tarsalis",4,"0","0","0","NW","40.5688","-105.09165"
"CSU-21793","FC-061",2024,23,"2024-06-05","LC","L","Pipiens",1,"0","0","0","NW","40.5688","-105.09165"
"CSU-21794","FC-058",2024,23,"2024-06-05","LC","L","Pipiens",1,"0","0","0","SW","40.54884","-105.12533"
"CSU-21795","FC-060",2024,23,"2024-06-05","LC","L","Pipiens",1,"0","0","0","SW","40.5487","-105.12019"
"CSU-21796","FC-063",2024,23,"2024-06-05","LC","L","Tarsalis",1,"0","0","0","NW","40.56568","-105.10485"
"CSU-21797","FC-090GR",2024,23,"2024-06-05","LC","G","Pipiens",5,"0","0","0","NW","40.58196","-105.11136"
"CSU-21771","LV-110",2024,23,"2024-06-04","LC","L","Tarsalis",28,"0","0","0","LV","40.400764","-105.122681"
"CSU-21772","LV-104",2024,23,"2024-06-04","LC","L","Tarsalis",6,"0","0","0","LV","40.396854","-105.020915"
"CSU-21773","LV-089",2024,23,"2024-06-04","LC","L","Tarsalis",5,"0","0","0","LV","40.400251","-105.042395"
"CSU-21774","FC-053",2024,23,"2024-06-04","LC","L","Tarsalis",1,"0","0","0","SE","40.49942","-105.01183"
"CSU-21775","FC-039",2024,23,"2024-06-04","LC","L","Tarsalis",2,"0","0","0","SE","40.48081","-105.03934"
"CSU-21776","FC-047",2024,23,"2024-06-04","LC","L","Tarsalis",3,"0","0","0","SE","40.51551","-105.05292"
"CSU-21777","FC-047",2024,23,"2024-06-04","LC","L","Pipiens",1,"0","0","0","SE","40.51551","-105.05292"
"CSU-21778","FC-046",2024,23,"2024-06-04","LC","L","Tarsalis",4,"0","0","0","SE","40.52983","-105.06484"
"CSU-21779","FC-023",2024,23,"2024-06-04","LC","L","Tarsalis",1,"0","0","0","SE","40.54466","-105.0641"
"CSU-21780","FC-074",2024,23,"2024-06-04","LC","L","Tarsalis",7,"0","0","0","SE","40.51432","-105.00249"
"CSU-21781","FC-004",2024,23,"2024-06-04","LC","L","Tarsalis",1,"0","0","0","SE","40.53486","-105.03733"
"CSU-21782","FC-027",2024,23,"2024-06-04","LC","L","Tarsalis",3,"0","0","0","SE","40.54651","-105.03359"
"CSU-21783","FC-088GR",2024,23,"2024-06-04","LC","G","Pipiens",7,"0","0","0","SE","40.53331","-105.03053"
"CSU-21784","FC-075GR",2024,23,"2024-06-04","LC","G","Pipiens",2,"0","0","0","SE","40.51138","-105.02937"
"CSU-21755","LV-069",2024,23,"2024-06-03","LC","L","Tarsalis",1,"0","0","0","LV","40.428924","-105.058221"
"CSU-21756","LV-095",2024,23,"2024-06-03","LC","L","Tarsalis",12,"0","0","0","LV","40.444118","-105.022166"
"CSU-21757","FC-072",2024,23,"2024-06-03","LC","L","Tarsalis",4,"0","0","0","NE","40.56953","-105.07117"
"CSU-21758","FC-038",2024,23,"2024-06-03","LC","L","Tarsalis",12,"0","0","0","NE","40.59911","-105.00623"
"CSU-21759","FC-038",2024,23,"2024-06-03","LC","L","Pipiens",2,"0","0","0","NE","40.59911","-105.00623"
"CSU-21760","FC-034",2024,23,"2024-06-03","LC","L","Tarsalis",2,"0","0","0","NE","40.62556","-105.05009"
"CSU-21761","FC-036",2024,23,"2024-06-03","LC","L","Tarsalis",4,"0","0","0","NW","40.600766","-105.079837"
"CSU-21762","FC-036",2024,23,"2024-06-03","LC","L","Pipiens",1,"0","0","0","NW","40.600766","-105.079837"
"CSU-21763","FC-019",2024,23,"2024-06-03","LC","L","Tarsalis",2,"0","0","0","NE","40.565586","-105.05203"
"CSU-21764","FC-019",2024,23,"2024-06-03","LC","L","Pipiens",2,"0","0","0","NE","40.565586","-105.05203"
"CSU-21765","FC-066GR",2024,23,"2024-06-03","LC","G","Tarsalis",1,"0","0","0","NE","40.55873","-105.02318"
"CSU-21766","FC-066",2024,23,"2024-06-03","LC","L","Tarsalis",3,"0","0","0","NE","40.55873","-105.02318"
"CSU-21767","FC-066",2024,23,"2024-06-03","LC","L","Pipiens",1,"0","0","0","NE","40.55873","-105.02318"
"CSU-21768","FC-092GR",2024,23,"2024-06-03","LC","G","Pipiens",4,"0","0","0","NE","40.58407","-105.06497"
"CSU-21769","FC-040GR",2024,23,"2024-06-03","LC","G","Pipiens",3,"0","0","0","NE","40.60326","-105.06553"
"CSU-21770","FC-040",2024,23,"2024-06-03","LC","L","Tarsalis",2,"0","0","0","NE","40.60326","-105.06554"
"CSU21727","FC-039",2023,37,"2023-09-13","LC","L","Tarsalis",1,"0","55.55","0","SE","40.48081","-105.03934"
"CSU21728","FC-039",2023,37,"2023-09-13","LC","L","Pipiens",9,"0","55.55","0","SE","40.48081","-105.03934"
"CSU21729","FC-064",2023,37,"2023-09-13","LC","L","Pipiens",6,"0","55.55","0","SE","40.49868","-105.0298"
"CSU21730","FC-053",2023,37,"2023-09-13","LC","L","Tarsalis",1,"0","55.55","0","SE","40.49942","-105.01183"
"CSU21731","FC-053",2023,37,"2023-09-13","LC","L","Pipiens",4,"0","55.55","0","SE","40.49942","-105.01183"
"CSU21732","FC-075GR",2023,37,"2023-09-13","LC","G","Pipiens",9,"0","55.55","0","SE","40.51138","-105.02937"
"CSU21733","FC-075",2023,37,"2023-09-13","LC","L","Pipiens",11,"0","55.55","0","SE","40.51138","-105.01987"
"CSU21734","FC-074",2023,37,"2023-09-13","LC","L","Tarsalis",1,"0","55.55","0","SE","40.51432","-105.00249"
"CSU21735","FC-074",2023,37,"2023-09-13","LC","L","Pipiens",5,"0","55.55","0","SE","40.51432","-105.00249"
"CSU21736","FC-088GR",2023,37,"2023-09-13","LC","G","Pipiens",10,"0","55.55","0","SE","40.53331","-105.03053"
"CSU21737","FC-027",2023,37,"2023-09-13","LC","L","Pipiens",17,"0","55.55","0","SE","40.54651","-105.03359"
"CSU21738","FC-004",2023,37,"2023-09-13","LC","L","Tarsalis",1,"0","55.55","0","SE","40.53486","-105.03733"
"CSU21739","FC-004",2023,37,"2023-09-13","LC","L","Pipiens",16,"0","55.55","0","SE","40.53486","-105.03733"
"CSU21740","FC-031",2023,37,"2023-09-13","LC","L","Pipiens",4,"0","55.55","0","SE","40.50609","-105.03942"
"CSU21741","FC-023",2023,37,"2023-09-13","LC","L","Tarsalis",1,"0","55.55","0","SE","40.54466","-105.0641"
"CSU21742","FC-050",2023,37,"2023-09-13","LC","L","Tarsalis",1,"0","55.55","0","SE","40.52954","-105.05033"
"CSU21743","FC-050",2023,37,"2023-09-13","LC","L","Pipiens",12,"0","55.55","0","SE","40.52954","-105.05033"
"CSU21744","FC-059",2023,37,"2023-09-13","LC","L","Pipiens",7,"0","55.55","0","SE","40.5426","-105.04604"
"CSU21745","FC-046",2023,37,"2023-09-13","LC","L","Pipiens",9,"0","55.55","0","SE","40.52983","-105.06484"
"CSU21746","FC-029",2023,37,"2023-09-13","LC","L","Tarsalis",2,"0","55.55","0","SE","40.51011","-105.06935"
"CSU21747","FC-029",2023,37,"2023-09-13","LC","L","Pipiens",1,"0","55.55","0","SE","40.51011","-105.06935"
"CSU21748","FC-062",2023,37,"2023-09-13","LC","L","Pipiens",1,"0","55.55","0","SW","40.54278","-105.08741"
"CSU21749","FC-057",2023,37,"2023-09-13","LC","L","Pipiens",1,"0","55.55","0","SW","40.48439","-105.10524"
"CSU21750","FC-093",2023,37,"2023-09-13","LC","L","Pipiens",1,"0","55.55","0","SW","40.53186","-105.08825"
"CSU21751","FC-089GR",2023,37,"2023-09-13","LC","G","Pipiens",5,"0","55.55","0","SW","40.53631","-105.10056"
"CSU21752","FC-029GR",2023,37,"2023-09-13","LC","G","Pipiens",10,"0","55.55","0","SE","40.51101","-105.06937"
"CSU21753","FC-037",2023,37,"2023-09-13","LC","L","Tarsalis",4,"0","55.55","0","SW","40.51668","-105.09808"
"CSU21754","FC-037",2023,37,"2023-09-13","LC","L","Pipiens",6,"0","55.55","0","SW","40.51668","-105.09808"
"CSU21703","FC-073",2023,37,"2023-09-12","LC","L","Pipiens",2,"0","55.55","0","NW","40.58605","-105.08889"
"CSU21704","FC-061",2023,37,"2023-09-12","LC","L","Pipiens",2,"0","55.55","0","NW","40.5688","-105.09165"
"CSU21705","FC-090GR",2023,37,"2023-09-12","LC","G","Pipiens",1,"0","55.55","0","NW","40.58196","-105.11136"
"CSU21706","FC-060",2023,37,"2023-09-12","LC","L","Pipiens",3,"0","55.55","0","SW","40.5487","-105.12019"
"CSU21707","FC-063GR",2023,37,"2023-09-12","LC","G","Pipiens",8,"0","55.55","0","NW","40.56568","-105.10505"
"CSU21708","FC-015",2023,37,"2023-09-12","LC","L","Pipiens",1,"0","55.55","0","NW","40.5598","-105.12409"
"CSU21709","FC-063",2023,37,"2023-09-12","LC","L","Pipiens",1,"0","55.55","0","NW","40.56568","-105.10485"
"CSU21710","FC-040GR",2023,37,"2023-09-12","LC","G","Pipiens",23,"1","27.9958","0","NE","40.60326","-105.06553"
"CSU21711","FC-034",2023,37,"2023-09-12","LC","L","Tarsalis",5,"0","55.55","0","NE","40.62556","-105.05009"
"CSU21712","FC-034",2023,37,"2023-09-12","LC","L","Pipiens",1,"0","55.55","0","NE","40.62556","-105.05009"
"CSU21713","FC-038",2023,37,"2023-09-12","LC","L","Pipiens",1,"0","55.55","0","NE","40.59911","-105.00623"
"CSU21714","FC-066",2023,37,"2023-09-12","LC","L","Tarsalis",1,"0","55.55","0","NE","40.55873","-105.02318"
"CSU21715","FC-066",2023,37,"2023-09-12","LC","L","Pipiens",50,"0","55.55","0","NE","40.55873","-105.02318"
"CSU21716","FC-066",2023,37,"2023-09-12","LC","L","Pipiens",27,"0","55.55","0","NE","40.55873","-105.02318"
"CSU21717","FC-014",2023,37,"2023-09-12","LC","L","Tarsalis",5,"0","55.55","0","NE","40.56359","-105.006562"
"CSU21718","FC-014",2023,37,"2023-09-12","LC","L","Pipiens",50,"0","55.55","0","NE","40.56359","-105.006562"
"CSU21719","FC-014",2023,37,"2023-09-12","LC","L","Pipiens",50,"0","55.55","0","NE","40.56359","-105.006562"
"CSU21720","FC-014",2023,37,"2023-09-12","LC","L","Pipiens",50,"0","55.55","0","NE","40.56359","-105.006562"
"CSU21721","FC-014",2023,37,"2023-09-12","LC","L","Pipiens",50,"0","55.55","0","NE","40.56359","-105.006562"
"CSU21722","FC-014",2023,37,"2023-09-12","LC","L","Pipiens",24,"0","55.55","0","NE","40.56359","-105.006562"
"CSU21723","FC-006",2023,37,"2023-09-12","LC","L","Pipiens",3,"0","55.55","0","NE","40.592328","-105.066295"
"CSU21724","FC-092GR",2023,37,"2023-09-12","LC","G","Pipiens",19,"1","34.14305","0","NE","40.58407","-105.06497"
"CSU21725","FC-040",2023,37,"2023-09-12","LC","L","Pipiens",6,"0","55.55","0","NE","40.60326","-105.06554"
"CSU21726","FC-036",2023,37,"2023-09-12","LC","L","Pipiens",8,"0","55.55","0","NW","40.600766","-105.079837"
"CSU21694","LV-020",2023,36,"2023-09-07","LC","L","Tarsalis",8,"0","55.55","0","LV","40.373964","-105.11349"
"CSU21695","LV-020",2023,36,"2023-09-07","LC","L","Pipiens",7,"0","55.55","0","LV","40.373964","-105.11349"
"CSU21696","FC-063",2023,36,"2023-09-07","LC","L","Pipiens",1,"0","55.55","0","NW","40.56568","-105.10485"
"CSU21697","FC-061",2023,36,"2023-09-07","LC","L","Tarsalis",2,"0","55.55","0","NW","40.5688","-105.09165"
"CSU21698","FC-061",2023,36,"2023-09-07","LC","L","Pipiens",1,"0","55.55","0","NW","40.5688","-105.09165"
"CSU21699","FC-041",2023,36,"2023-09-07","LC","L","Pipiens",2,"0","55.55","0","NW","40.58794","-105.10486"
"CSU21700","FC-090GR",2023,36,"2023-09-07","LC","G","Pipiens",9,"0","55.55","0","NW","40.58196","-105.11136"
"CSU21701","FC-073",2023,36,"2023-09-07","LC","L","Tarsalis",3,"0","55.55","0","NW","40.58605","-105.08889"
"CSU21702","FC-063GR",2023,36,"2023-09-07","LC","G","Pipiens",36,"1","20.36562","0","NW","40.56568","-105.10505"
"CSU21656","LV-104",2023,36,"2023-09-06","LC","L","Tarsalis",13,"0","55.55","0","LV","40.396854","-105.020915"
"CSU21657","LV-104",2023,36,"2023-09-06","LC","L","Pipiens",22,"0","55.55","0","LV","40.396854","-105.020915"
"CSU21658","LV-110",2023,36,"2023-09-06","LC","L","Tarsalis",1,"0","55.55","0","LV","40.400764","-105.122681"
"CSU21659","LV-110",2023,36,"2023-09-06","LC","L","Pipiens",2,"0","55.55","0","LV","40.400764","-105.122681"
"CSU21660","FC-093",2023,36,"2023-09-06","LC","L","Tarsalis",1,"0","55.55","0","SW","40.53186","-105.08825"
"CSU21661","FC-093",2023,36,"2023-09-06","LC","L","Pipiens",1,"0","55.55","0","SW","40.53186","-105.08825"
"CSU21662","FC-071",2023,36,"2023-09-06","LC","L","Tarsalis",1,"0","55.55","0","SW","40.52733","-105.10821"
"CSU21663","FC-062",2023,36,"2023-09-06","LC","L","Pipiens",3,"0","55.55","0","SW","40.54278","-105.08741"
"CSU21664","FC-029GR",2023,36,"2023-09-06","LC","G","Pipiens",5,"1","32.66918","0","SE","40.51101","-105.06937"
"CSU21665","FC-029",2023,36,"2023-09-06","LC","L","Tarsalis",2,"0","55.55","0","SE","40.51011","-105.06935"
"CSU21666","FC-029",2023,36,"2023-09-06","LC","L","Pipiens",2,"0","55.55","0","SE","40.51011","-105.06935"
"CSU21667","FC-001",2023,36,"2023-09-06","LC","L","Tarsalis",2,"0","55.55","0","SW","40.49087","-105.08257"
"CSU21668","FC-001",2023,36,"2023-09-06","LC","L","Pipiens",21,"0","55.55","0","SW","40.49087","-105.08257"
"CSU21669","FC-054",2023,36,"2023-09-06","LC","L","Tarsalis",6,"0","55.55","0","SE","40.49998","-105.0632"
"CSU21670","FC-054",2023,36,"2023-09-06","LC","L","Pipiens",12,"0","55.55","0","SE","40.49998","-105.0632"
"CSU21671","FC-089GR",2023,36,"2023-09-06","LC","G","Pipiens",1,"0","55.55","0","SW","40.53631","-105.10056"
"CSU21672","FC-037",2023,36,"2023-09-06","LC","L","Tarsalis",7,"0","55.55","0","SW","40.51668","-105.09808"
"CSU21673","FC-037",2023,36,"2023-09-06","LC","L","Pipiens",7,"0","55.55","0","SW","40.51668","-105.09808"
"CSU21674","FC-057",2023,36,"2023-09-06","LC","L","Tarsalis",3,"0","55.55","0","SW","40.48439","-105.10524"
"CSU21675","FC-057",2023,36,"2023-09-06","LC","L","Pipiens",1,"1","16.5632","0","SW","40.48439","-105.10524"
"CSU21676","FC-023",2023,36,"2023-09-06","LC","L","Tarsalis",3,"0","55.55","0","SE","40.54466","-105.0641"
"CSU21677","FC-023",2023,36,"2023-09-06","LC","L","Pipiens",2,"0","55.55","0","SE","40.54466","-105.0641"
"CSU21678","FC-047",2023,36,"2023-09-06","LC","L","Tarsalis",1,"0","55.55","0","SE","40.51551","-105.05292"
"CSU21679","FC-047",2023,36,"2023-09-06","LC","L","Pipiens",2,"0","55.55","0","SE","40.51551","-105.05292"
"CSU21680","FC-050",2023,36,"2023-09-06","LC","L","Pipiens",4,"0","55.55","0","SE","40.52954","-105.05033"
"CSU21681","FC-046",2023,36,"2023-09-06","LC","L","Tarsalis",4,"0","55.55","0","SE","40.52983","-105.06484"
"CSU21682","FC-046",2023,36,"2023-09-06","LC","L","Pipiens",13,"0","55.55","0","SE","40.52983","-105.06484"
"CSU21683","FC-059",2023,36,"2023-09-06","LC","L","Tarsalis",3,"0","55.55","0","SE","40.5426","-105.04604"
"CSU21684","FC-059",2023,36,"2023-09-06","LC","L","Pipiens",11,"0","55.55","0","SE","40.5426","-105.04604"
"CSU21685","FC-074",2023,36,"2023-09-06","LC","L","Tarsalis",2,"0","55.55","0","SE","40.51432","-105.00249"
"CSU21686","FC-075",2023,36,"2023-09-06","LC","L","Tarsalis",3,"0","55.55","0","SE","40.51138","-105.01987"
"CSU21687","FC-075",2023,36,"2023-09-06","LC","L","Pipiens",9,"0","55.55","0","SE","40.51138","-105.01987"
"CSU21688","FC-004",2023,36,"2023-09-06","LC","L","Tarsalis",2,"0","55.55","0","SE","40.53486","-105.03733"
"CSU21689","FC-004",2023,36,"2023-09-06","LC","L","Pipiens",7,"0","55.55","0","SE","40.53486","-105.03733"
"CSU21690","FC-088GR",2023,36,"2023-09-06","LC","G","Pipiens",21,"0","55.55","0","SE","40.53331","-105.03053"
"CSU21691","FC-075GR",2023,36,"2023-09-06","LC","G","Pipiens",26,"0","55.55","0","SE","40.51138","-105.02937"
"CSU21692","FC-039",2023,36,"2023-09-06","LC","L","Tarsalis",4,"0","55.55","0","SE","40.48081","-105.03934"
"CSU21693","FC-039",2023,36,"2023-09-06","LC","L","Pipiens",11,"0","55.55","0","SE","40.48081","-105.03934"
"BOU00201","BC-22",2023,36,"2023-09-05","BC","L","Tarsalis",2,"0",,"0","BC","39.959444","-105.232292"
"BOU00202","BC-11",2023,36,"2023-09-05","BC","L","Tarsalis",1,"0",,"0","BC","40.11","-105.130278"
"BOU00203","BC-26",2023,36,"2023-09-05","BC","L","Tarsalis",5,"0",,"0","BC",,
"BOU00204","BC-13",2023,36,"2023-09-05","BC","L","Tarsalis",3,"0",,"0","BC",,
"BOU00205","BC-27",2023,36,"2023-09-05","BC","L","Tarsalis",2,"0",,"0","BC",,
"CSU21635","LV-069",2023,36,"2023-09-05","LC","L","Tarsalis",4,"0","55.55","0","LV","40.428924","-105.058221"
"CSU21636","LV-095",2023,36,"2023-09-05","LC","L","Tarsalis",20,"0","55.55","0","LV","40.444118","-105.022166"
"CSU21637","LV-095",2023,36,"2023-09-05","LC","L","Pipiens",24,"0","55.55","0","LV","40.444118","-105.022166"
"CSU21638","FC-034",2023,36,"2023-09-05","LC","L","Tarsalis",1,"0","55.55","0","NE","40.62556","-105.05009"
"CSU21639","FC-069",2023,36,"2023-09-05","LC","L","Tarsalis",2,"0","55.55","0","NE","40.61438","-105.0527"
"CSU21640","FC-040GR",2023,36,"2023-09-05","LC","G","Pipiens",7,"0","55.55","0","NE","40.60326","-105.06553"
"CSU21641","FC-092GR",2023,36,"2023-09-05","LC","G","Pipiens",7,"0","55.55","0","NE","40.58407","-105.06497"
"CSU21642","FC-072",2023,36,"2023-09-05","LC","L","Tarsalis",6,"0","55.55","0","NE","40.56953","-105.07117"
"CSU21643","FC-072",2023,36,"2023-09-05","LC","L","Pipiens",2,"0","55.55","0","NE","40.56953","-105.07117"
"CSU21644","FC-040",2023,36,"2023-09-05","LC","L","Tarsalis",2,"0","55.55","0","NE","40.60326","-105.06554"
"CSU21645","FC-040",2023,36,"2023-09-05","LC","L","Pipiens",13,"0","55.55","0","NE","40.60326","-105.06554"
"CSU21646","FC-091GR",2023,36,"2023-09-05","LC","G","Pipiens",7,"0","55.55","0","NE","40.57052","-105.05457"
"CSU21647","FC-019",2023,36,"2023-09-05","LC","L","Tarsalis",6,"0","55.55","0","NE","40.565586","-105.05203"
