"csu_id","trap_id","zone","year","week","trap_date","county","method","spp","total","test_code"
"CSU-23137","FC-031","SE","2024","37",2024-09-10,"LC","L","Pipiens",3,NA
"CSU-23138","FC-088GR","SE","2024","37",2024-09-10,"LC","G","Pipiens",49,NA
"CSU-23139","FC-023","SE","2024","37",2024-09-10,"LC","L","Pipiens",1,NA
"CSU-23140","FC-059","SE","2024","37",2024-09-10,"LC","L","Tarsalis",2,NA
"CSU-23141","FC-059","SE","2024","37",2024-09-10,"LC","L","Pipiens",2,NA
"CSU-23142","FC-046","SE","2024","37",2024-09-10,"LC","L","Tarsalis",2,NA
"CSU-23143","FC-050","SE","2024","37",2024-09-10,"LC","L","Tarsalis",1,NA
"CSU-23144","FC-061","NW","2024","37",2024-09-11,"LC","L","Pipiens",3,NA
"CSU-23145","FC-052","NW","2024","37",2024-09-11,"LC","L","Tarsalis",1,NA
"CSU-23146","FC-052","NW","2024","37",2024-09-11,"LC","L","Pipiens",3,NA
"CSU-23147","FC-073","NW","2024","37",2024-09-11,"LC","L","Tarsalis",1,NA
"CSU-23148","FC-073","NW","2024","37",2024-09-11,"LC","L","Pipiens",3,NA
"CSU-23149","FC-041","NW","2024","37",2024-09-11,"LC","L","Pipiens",6,NA
"CSU-23150","FC-060","NW","2024","37",2024-09-11,"LC","L","Pipiens",1,NA
"CSU-23151","FC-011","NW","2024","37",2024-09-11,"LC","L","Pipiens",5,NA
"CSU-23152","FC-063","NW","2024","37",2024-09-11,"LC","L","Pipiens",1,NA
"CSU-23153","FC-090GR","NW","2024","37",2024-09-11,"LC","G","Pipiens",31,NA
"CSU-23154","FC-063GR","NW","2024","37",2024-09-11,"LC","G","Pipiens",13,NA
"CSU-23155","FC-015","NW","2024","37",2024-09-11,"LC","L","Tarsalis",2,NA
"CSU-23156","FC-015","NW","2024","37",2024-09-11,"LC","L","Pipiens",4,NA
"CSU-23157","FC-049","SW","2024","37",2024-09-11,"LC","L","Tarsalis",1,NA
"CSU-23158","FC-049","SW","2024","37",2024-09-11,"LC","L","Pipiens",4,NA
"CSU-23159","FC-001","SW","2024","37",2024-09-12,"LC","L","Tarsalis",2,NA
"CSU-23160","FC-029GR","SE","2024","37",2024-09-12,"LC","G","Pipiens",6,NA
"CSU-23161","FC-029","SE","2024","37",2024-09-12,"LC","L","Tarsalis",1,NA
"CSU-23162","FC-029","SE","2024","37",2024-09-12,"LC","L","Pipiens",3,NA
"CSU-23163","FC-068","SW","2024","37",2024-09-12,"LC","L","Tarsalis",1,NA
"CSU-23164","FC-068","SW","2024","37",2024-09-12,"LC","L","Pipiens",1,NA
"CSU-23165","FC-093","SW","2024","37",2024-09-12,"LC","L","Tarsalis",1,NA
"CSU-23166","FC-089GR","SW","2024","37",2024-09-12,"LC","G","Pipiens",10,NA
"CSU-23167","FC-037","SW","2024","37",2024-09-12,"LC","L","Tarsalis",2,NA
"CSU-23168","FC-037","SW","2024","37",2024-09-12,"LC","L","Pipiens",4,NA
