"year","week","zone","spp","abund"
2021,35,"SE","Pipiens",24.9
2021,35,"SE","Tarsalis",4.2
2021,35,"SW","Pipiens",6.6
2021,35,"SW","Tarsalis",1.4
2021,35,"WC","Pipiens",3
2021,35,"WC","Tarsalis",5
2021,36,"BC","Tarsalis",5.2
2021,36,"LV","Pipiens",0.5
2021,36,"LV","Tarsalis",4
2021,36,"NE","Pipiens",58.3
2021,36,"NE","Tarsalis",1.2
2021,36,"NW","Pipiens",9.6
2021,36,"NW","Tarsalis",0.8
2021,36,"SE","Pipiens",42.8
2021,36,"SE","Tarsalis",1
2021,36,"SW","Pipiens",3.9
2021,36,"SW","Tarsalis",0.8
2022,23,"FC",NA,9
2022,23,"LC",NA,21
2022,23,"LV",NA,13
2022,23,"NE",NA,9.6
2022,23,"NW",NA,2.1
2022,23,"SE",NA,15.8
2022,23,"SW",NA,4.2
2022,24,"BC",NA,14.6
2022,24,"LC",NA,13.8
2022,24,"LV",NA,31.8
2022,24,"NE",NA,11.4
2022,24,"NW",NA,6.9
2022,24,"SE",NA,8.4
2022,24,"SW",NA,3.4
2022,24,"WC",NA,5
2022,25,"BC",NA,14.6
2022,25,"LC",NA,8.5
2022,25,"LV",NA,15.2
2022,25,"NE",NA,18.6
2022,25,"NW",NA,4
2022,25,"SE",NA,8.6
2022,25,"SW",NA,3.6
2022,26,"BC",NA,16.4
2022,26,"LC",NA,62
2022,26,"LV",NA,57.1
2022,26,"NE",NA,10.8
2022,26,"NW",NA,6.8
2022,26,"SE",NA,21.6
2022,26,"SW",NA,3
2022,26,"WC",NA,1
2022,27,"BC",NA,37.8
2022,27,"LC",NA,43.5
2022,27,"LV",NA,70.3
2022,27,"NE",NA,43.1
2022,27,"NW",NA,8.8
2022,27,"SE",NA,58.1
2022,27,"SW",NA,12.8
2022,27,"WC",NA,6
2022,28,"BC",NA,35
2022,28,"LC",NA,47.7
2022,28,"LV",NA,163.9
2022,28,"NE",NA,128.9
2022,28,"NW",NA,40.4
2022,28,"SE",NA,104
2022,28,"SW",NA,32.9
2022,28,"WC",NA,3
2022,29,"BC",NA,33.8
2022,29,"LC",NA,115
2022,29,"LV",NA,182.6
2022,29,"NE",NA,135.3
2022,29,"NW",NA,38
2022,29,"SE",NA,99
2022,29,"SW",NA,35.1
2022,29,"WC",NA,19
2022,30,"BC",NA,29
2022,30,"LC",NA,36.8
2022,30,"LV",NA,148.2
2022,30,"NE",NA,84.9
2022,30,"NW",NA,21.6
2022,30,"SE",NA,46.4
2022,30,"SW",NA,21
2022,30,"WC",NA,12
2022,31,"BC",NA,27.2
2022,31,"LC",NA,74.2
2022,31,"LV",NA,132.8
2022,31,"NE",NA,86.6
2022,31,"NW",NA,26.4
2022,31,"SE",NA,58.2
2022,31,"SW",NA,28.8
2022,31,"WC",NA,22
2022,32,"BC",NA,18.2
2022,32,"LC",NA,118.5
2022,32,"LV",NA,103.4
2022,32,"NE",NA,145
2022,32,"NW",NA,21.7
2022,32,"SE",NA,49.5
2022,32,"SW",NA,50.8
2022,32,"WC",NA,67
2022,33,"BC",NA,7.6
2022,33,"LC",NA,30.5
2022,33,"LV",NA,35.3
2022,33,"NE",NA,135.6
2022,33,"NW",NA,29.8
2022,33,"SE",NA,63
2022,33,"SW",NA,26.4
2022,33,"WC",NA,27
2022,34,"BC",NA,7.2
2022,34,"LC",NA,45.2
2022,34,"LV",NA,88.4
2022,34,"NE",NA,166.7
2022,34,"NW",NA,49.9
2022,34,"SE",NA,58.9
2022,34,"SW",NA,51.9
2022,34,"WC",NA,7
2022,35,"BC",NA,8.2
2022,35,"LC",NA,38
2022,35,"LV",NA,50.4
2022,35,"NE",NA,41.2
2022,35,"NW",NA,10.6
2022,35,"SE",NA,41.1
2022,35,"SW",NA,19.2
2022,35,"WC",NA,12
2022,36,"BC",NA,5
2022,36,"LV",NA,43
2022,36,"NE",NA,53.7
2022,36,"NW",NA,8.5
2022,36,"SE",NA,25.4
2022,36,"SW",NA,5.2
2022,37,"BC",NA,6
2022,37,"NE",NA,94.9
2022,37,"NW",NA,4.4
2022,37,"SE",NA,26.3
2022,37,"SW",NA,6.6
2023,23,"LC",NA,11.8
2023,23,"LV",NA,23.4
2023,23,"NE",NA,2.2
2023,23,"NW",NA,4.2
2023,23,"SE",NA,5.2
2023,23,"SW",NA,5.7
2023,23,"WC",NA,17
2023,24,"LC",NA,13.8
2023,24,"LV",NA,24.8
2023,24,"NE",NA,3
2023,24,"NW",NA,6
2023,24,"SE",NA,13
2023,24,"SW",NA,7
2023,24,"WC",NA,3
2023,25,"BC",NA,24
2023,25,"LC",NA,118.5
2023,25,"LV",NA,86.6
2023,25,"NE",NA,12.8
2023,25,"NW",NA,22.1
2023,25,"SE",NA,20.6
2023,25,"SW",NA,5.5
2023,25,"WC",NA,16
2023,26,"BC",NA,45
2023,26,"LC",NA,118
2023,26,"LV",NA,338.3
2023,26,"NE",NA,96.6
2023,26,"NW",NA,86.6
2023,26,"SE",NA,206
2023,26,"SW",NA,68.8
2023,26,"WC",NA,150
2023,27,"BC",NA,68.6
2023,27,"LC",NA,139
2023,27,"LV",NA,393.4
2023,27,"NE",NA,148.4
2023,27,"NW",NA,19.1
2023,27,"SE",NA,204.2
2023,27,"SW",NA,25.1
2023,27,"WC",NA,150
2023,28,"BC",NA,49
2023,28,"LC",NA,151.8
2023,28,"LV",NA,146.6
2023,28,"NE",NA,97
2023,28,"NW",NA,105.2
2023,28,"SE",NA,349.6
2023,28,"SW",NA,163
2023,28,"WC",NA,151
2023,29,"BC",NA,58.8
2023,29,"LC",NA,150.8
2023,29,"LV",NA,153.8
2023,29,"NE",NA,352.6
2023,29,"NW",NA,250.1
2023,29,"SE",NA,291.8
2023,29,"SW",NA,252
2023,29,"WC",NA,150
2023,30,"BC",NA,49
2023,30,"LC",NA,102.5
2023,30,"LV",NA,132.4
2023,30,"NE",NA,243.6
2023,30,"NW",NA,72.4
2023,30,"SE",NA,96
2023,30,"SW",NA,71.4
2023,30,"WC",NA,30
2023,31,"BC",NA,94
2023,31,"LC",NA,57.2
2023,31,"LV",NA,91.9
2023,31,"NE",NA,26
2023,31,"NW",NA,32.6
2023,31,"SE",NA,112.9
2023,31,"SW",NA,23
2023,31,"WC",NA,30
2023,32,"BC",NA,47.4
2023,32,"LC",NA,123.8
2023,32,"LV",NA,117.7
2023,32,"NE",NA,29.6
2023,32,"NW",NA,35.7
2023,32,"SE",NA,37.3
2023,32,"SW",NA,21.2
2023,32,"WC",NA,95
2023,33,"BC",NA,36.2
2023,33,"LC",NA,79.2
2023,33,"LV",NA,113.4
2023,33,"NE",NA,38.1
2023,33,"NW",NA,17
2023,33,"SE",NA,35.8
2023,33,"SW",NA,28.2
2023,33,"WC",NA,20
2023,34,"BC",NA,42.2
2023,34,"LC",NA,55.5
2023,34,"LV",NA,76.7
2023,34,"NE",NA,18.4
2023,34,"NW",NA,23.2
2023,34,"SE",NA,42.8
2023,34,"SW",NA,24.9
2023,34,"WC",NA,87
2023,35,"BC",NA,11
2023,35,"LC",NA,25.8
2023,35,"LV",NA,59.7
2023,35,"NE",NA,23.2
2023,35,"NW",NA,23.4
2023,35,"SE",NA,10.9
2023,35,"SW",NA,7
2023,35,"WC",NA,25
2023,36,"BC",NA,2.6
2023,36,"LV",NA,19.3
2023,36,"NE",NA,22.7
2023,36,"NW",NA,9
2023,36,"SE",NA,11.1
2023,36,"SW",NA,6.9
2023,37,"NE",NA,45.6
2023,37,"NW",NA,3.3
2023,37,"SE",NA,8.6
2023,37,"SW",NA,3.3
