"year","zone","week","n_trap","spp","mosq","abund"
2022,"WC",27,1,"Pipiens",1,1
2022,"WC",27,1,"Tarsalis",5,5
2022,"WC",28,1,"Tarsalis",3,3
2022,"WC",29,1,"Tarsalis",19,19
2022,"WC",30,1,"Tarsalis",12,12
2022,"WC",31,1,"Tarsalis",22,22
2022,"WC",32,1,"Tarsalis",67,67
2022,"WC",33,1,"Pipiens",3,3
2022,"WC",33,1,"Tarsalis",24,24
2022,"WC",34,1,"Tarsalis",7,7
2022,"WC",35,1,"Pipiens",1,1
2022,"WC",35,1,"Tarsalis",11,11
