"trap_id","method","zone","zone2","active","start","lat","long"
"FC-029","L","SE","FC",1,"2012","40.51011","-105.06935"
"FC-029GR","G","SE","FC",1,"2012","40.51101","-105.06937"
"FC-031","L","SE","FC",1,"2012","40.50609","-105.03942"
"FC-039","L","SE","FC",1,"2012","40.48081","-105.03934"
"FC-046","L","SE","FC",1,"2012","40.52983","-105.06484"
"FC-047","L","SE","FC",1,"2012","40.51551","-105.05292"
"FC-050","L","SE","FC",1,"2012","40.52954","-105.05033"
"FC-053","L","SE","FC",1,"2012","40.49942","-105.01183"
"FC-054","L","SE","FC",1,"2012","40.49998","-105.0632"
"FC-059","L","SE","FC",1,"2012","40.5426","-105.04604"
"FC-064","L","SE","FC",1,"2012","40.49868","-105.0298"
"FC-074","L","SE","FC",1,"2012","40.51432","-105.00249"
"FC-075","L","SE","FC",1,"2012","40.51138","-105.01987"
"FC-075GR","G","SE","FC",1,"2012","40.51138","-105.02937"
"FC-088GR","G","SE","FC",1,"2012","40.53331","-105.03053"
"FC-001","L","SW","FC",1,"2012","40.49087","-105.08257"
"FC-037","L","SW","FC",1,"2012","40.51668","-105.09808"
"FC-057","L","SW","FC",1,"2012","40.48439","-105.10524"
"FC-058","L","SW","FC",1,"2012","40.54884","-105.12533"
"FC-060","L","SW","FC",1,"2012","40.5487","-105.12019"
"FC-062","L","SW","FC",1,"2012","40.54278","-105.08741"
"FC-068","L","SW","FC",1,"2012","40.516","-105.08547"
"FC-071","L","SW","FC",1,"2012","40.52733","-105.10821"
"FC-089GR","G","SW","FC",1,"2012","40.53631","-105.10056"
"FC-093","L","SW","FC",1,"2012","40.53186","-105.08825"
