"zone","zone2","year","week","spp","trap_L","mosq_L","abund_sd","abund","abund_lci","abund_uci","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"NE","FC",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,36,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,36,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,36,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,36,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,36,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,36,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,36,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,36,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,35,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,35,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,35,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,34,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,34,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,34,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,33,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,33,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,33,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,32,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,32,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,32,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,31,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,31,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2025,31,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2025,30,"Pipiens",8,36,5.1547,4.5,0.928,8.072,0.0171,0.001,0.0966,0.08,0,0.43
"NW","FC",2025,30,"Tarsalis",8,184,20.7089,23,8.6495,37.3505,0,0,0.0205,0,0,0.47
"NW","FC",2025,30,"All",8,220,17.4299,27.5,15.4217,39.5783,0.004,2e-04,0.0197,0.11,0.01,0.54
"NE","FC",2025,30,"Pipiens",10,250,54.1069,25,0,58.5358,0.0069,0.0019,0.0189,0.17,0.05,0.47
"NE","FC",2025,30,"Tarsalis",10,330,28.6628,33,15.2346,50.7654,0,0,0.0115,0,0,0.38
"NE","FC",2025,30,"All",10,580,42.3407,58,31.757,84.243,0.0039,0.001,0.0107,0.23,0.06,0.62
"SE","FC",2025,30,"Pipiens",14,17,1.8884,1.2143,0.2251,2.2035,0.0266,0.0082,0.0736,0.03,0.01,0.09
"SE","FC",2025,30,"Tarsalis",14,313,18.6614,22.3571,12.5817,32.1325,0,0,0.0121,0,0,0.27
"SE","FC",2025,30,"All",14,330,16.8904,23.5714,14.7237,32.4191,0.007,0.0019,0.0188,0.16,0.04,0.44
"SW","FC",2025,30,"Pipiens",9,28,4.6488,3.1111,0.0739,6.1483,0,0,0.0688,0,0,0.21
"SW","FC",2025,30,"Tarsalis",9,144,24.5967,16,0,32.0698,0.0064,4e-04,0.0299,0.1,0.01,0.48
"SW","FC",2025,30,"All",9,172,18.4079,19.1111,7.0846,31.1376,0.0048,3e-04,0.0228,0.09,0.01,0.44
"FC","FC",2025,30,"Pipiens",41,331,27.659,8.0732,0,16.5396,0.0111,0.005,0.0219,0.09,0.04,0.18
"FC","FC",2025,30,"Tarsalis",41,971,23.0168,23.6829,16.6374,30.7284,0.001,1e-04,0.0049,0.02,0,0.12
"FC","FC",2025,30,"All",41,1302,26.4778,31.7561,23.6512,39.861,0.005,0.0024,0.0094,0.16,0.08,0.3
"LV","LV",2025,30,"Pipiens",6,28,3.6148,4.6667,1.7743,7.5591,0,0,0.1287,0,0,0.6
"LV","LV",2025,30,"Tarsalis",6,554,84.1348,92.3333,25.0114,159.6552,0.0083,0.0027,0.0204,0.77,0.25,1.88
"LV","LV",2025,30,"All",6,582,72.9352,97,38.6397,155.3603,0.0078,0.0026,0.0193,0.76,0.25,1.87
"BE","BE",2025,30,"Pipiens",10,14,1.9551,1.4,0.1882,2.6118,0.0855,0.0049,0.4065,0.12,0.01,0.57
"BE","BE",2025,30,"Tarsalis",10,544,35.8677,54.4,32.169,76.631,0.0083,0.0028,0.0202,0.45,0.15,1.1
"BE","BE",2025,30,"All",10,558,36.7479,55.8,33.0234,78.5766,0.0101,0.0039,0.0225,0.56,0.22,1.26
"BC","BC",2025,30,"Pipiens",5,9,2.1679,1.8,0,3.7002,0,0,0,0,0,0
"BC","BC",2025,30,"Tarsalis",5,257,67.7886,51.4,0,110.8193,0.017,0.0036,0.0592,0.87,0.19,3.04
"BC","BC",2025,30,"All",5,266,52.2286,53.2,7.4196,98.9804,0.017,0.0036,0.0592,0.9,0.19,3.15
"NW","FC",2025,29,"Pipiens",9,42,4.2131,4.6667,1.9141,7.4193,0,0,0.0194,0,0,0.09
"NW","FC",2025,29,"Tarsalis",9,505,66.6829,56.1111,12.5449,99.6773,0.0113,0.0044,0.025,0.63,0.25,1.4
"NW","FC",2025,29,"All",9,547,52.9285,60.7778,26.1978,95.3578,0.0078,0.003,0.0174,0.47,0.18,1.06
"NE","FC",2025,29,"Pipiens",10,190,31.8957,19,0,38.7692,0.0068,0.0012,0.0232,0.13,0.02,0.44
"NE","FC",2025,29,"Tarsalis",10,579,43.8848,57.9,30.6999,85.1001,0.0104,0.0039,0.0237,0.6,0.23,1.37
"NE","FC",2025,29,"All",10,769,42.3363,76.9,50.6597,103.1403,0.0092,0.0041,0.0186,0.71,0.32,1.43
"SE","FC",2025,29,"Pipiens",15,108,8.6619,7.2,2.8165,11.5835,0.0119,0.0032,0.0331,0.09,0.02,0.24
"SE","FC",2025,29,"Tarsalis",15,839,31.9318,55.9333,39.7736,72.093,0.0153,0.008,0.0277,0.86,0.45,1.55
"SE","FC",2025,29,"All",15,947,33.8034,63.1333,46.0264,80.2402,0.0146,0.0083,0.0246,0.92,0.52,1.55
"SW","FC",2025,29,"Pipiens",9,39,4.2426,4.3333,1.5615,7.1051,0.0189,0.0011,0.0988,0.08,0,0.43
"SW","FC",2025,29,"Tarsalis",9,271,19.1601,30.1111,17.5932,42.629,0.0081,0.0015,0.0277,0.24,0.05,0.83
"SW","FC",2025,29,"All",9,310,18.8977,34.4444,22.0979,46.7909,0.0102,0.0027,0.0285,0.35,0.09,0.98
"FC","FC",2025,29,"Pipiens",43,379,16.8357,8.814,3.7819,13.8461,0.0078,0.0032,0.0162,0.07,0.03,0.14
"FC","FC",2025,29,"Tarsalis",43,2194,42.2918,51.0233,38.3824,63.6642,0.0124,0.0081,0.0186,0.63,0.41,0.95
"FC","FC",2025,29,"All",43,2573,38.3989,59.8372,48.3599,71.3145,0.0111,0.0075,0.0158,0.66,0.45,0.95
"LV","LV",2025,29,"Pipiens",6,10,1.3663,1.6667,0.5734,2.76,0,0,0.2775,0,0,0.46
"LV","LV",2025,29,"Tarsalis",6,466,65.3381,77.6667,25.3853,129.9481,0.0133,0.0051,0.0304,1.03,0.4,2.36
"LV","LV",2025,29,"All",6,476,59.301,79.3333,31.8826,126.784,0.013,0.005,0.0296,1.03,0.4,2.35
"BE","BE",2025,29,"Pipiens",10,37,3.2335,3.7,1.6959,5.7041,0.029,0.0017,0.1429,0.11,0.01,0.53
"BE","BE",2025,29,"Tarsalis",10,703,28.9561,70.3,52.3528,88.2472,0.0126,0.0056,0.0256,0.89,0.39,1.8
"BE","BE",2025,29,"All",10,740,39.6153,74,49.4462,98.5538,0.0137,0.0065,0.0265,1.01,0.48,1.96
"BC","BC",2025,29,"Pipiens",5,15,3.7417,3,0,6.2797,0,0,0,0,0,0
"BC","BC",2025,29,"Tarsalis",5,713,159.0858,142.6,3.1551,282.0449,0,0,0.0154,0,0,2.2
"BC","BC",2025,29,"All",5,728,129.1036,145.6,32.4357,258.7643,0,0,0.0154,0,0,2.24
"NW","FC",2025,28,"Pipiens",9,32,5.7033,3.5556,0,7.2818,0,0,0.0224,0,0,0.08
"NW","FC",2025,28,"Tarsalis",9,117,14.0178,13,3.8417,22.1583,0.009,5e-04,0.0474,0.12,0.01,0.62
"NW","FC",2025,28,"All",9,149,11.4625,16.5556,9.0668,24.0444,0.0035,2e-04,0.0174,0.06,0,0.29
"NE","FC",2025,28,"Pipiens",10,96,10.0466,9.6,3.3731,15.8269,0,0,0.0269,0,0,0.26
"NE","FC",2025,28,"Tarsalis",10,465,29.647,46.5,28.1246,64.8754,0.0066,0.0018,0.0177,0.31,0.08,0.82
"NE","FC",2025,28,"All",10,561,28.6788,56.1,38.3247,73.8753,0.0051,0.0014,0.0137,0.29,0.08,0.77
"SE","FC",2025,28,"Pipiens",15,83,8.374,5.5333,1.2955,9.7711,0.0023,1e-04,0.0112,0.01,0,0.06
"SE","FC",2025,28,"Tarsalis",15,1491,94.0545,99.4,51.8019,146.9981,0.007,0.0034,0.0129,0.7,0.34,1.28
"SE","FC",2025,28,"All",15,1574,81.1366,104.9333,63.8725,145.9941,0.0058,0.003,0.0105,0.61,0.31,1.1
"SW","FC",2025,28,"Pipiens",9,19,2.8038,2.1111,0.2793,3.9429,0.0122,9e-04,0.0543,0.03,0,0.11
"SW","FC",2025,28,"Tarsalis",9,566,70.6266,62.8889,16.7462,109.0316,0.0018,1e-04,0.0088,0.11,0.01,0.55
"SW","FC",2025,28,"All",9,585,57.6962,65,27.3051,102.6949,0.0032,6e-04,0.0105,0.21,0.04,0.68
"FC","FC",2025,28,"Pipiens",43,230,7.7425,5.3488,3.0346,7.663,0.0025,4e-04,0.008,0.01,0,0.04
"FC","FC",2025,28,"Tarsalis",43,2639,72.081,61.3721,39.8273,82.9169,0.0059,0.0034,0.0097,0.36,0.21,0.6
"FC","FC",2025,28,"All",43,2869,58.2304,66.7209,49.316,84.1258,0.0051,0.003,0.008,0.34,0.2,0.53
"LV","LV",2025,28,"Pipiens",6,8,1.0328,1.3333,0.5069,2.1597,0,0,0.4345,0,0,0.58
"LV","LV",2025,28,"Tarsalis",6,577,58.4309,96.1667,49.4122,142.9212,0.0056,0.0015,0.0154,0.54,0.14,1.48
"LV","LV",2025,28,"All",6,585,63.286,97.5,46.8607,148.1393,0.0056,0.0015,0.0153,0.55,0.15,1.49
"BE","BE",2025,28,"Pipiens",10,18,3.1552,1.8,0,3.7556,0,0,0.1936,0,0,0.35
"BE","BE",2025,28,"Tarsalis",10,828,44.1457,82.8,55.4382,110.1618,0.0053,0.0017,0.013,0.44,0.14,1.08
"BE","BE",2025,28,"All",10,846,51.5212,84.6,52.6668,116.5332,0.0052,0.0017,0.0128,0.44,0.14,1.08
"BC","BC",2025,28,"Pipiens",5,8,1.8166,1.6,0.0077,3.1923,0,0,0,0,0,0
"BC","BC",2025,28,"Tarsalis",5,626,133.8776,125.2,7.8511,242.5489,0,0,0.0134,0,0,1.68
"BC","BC",2025,28,"All",5,634,110.5031,126.8,29.9398,223.6602,0,0,0.0134,0,0,1.7
"NW","FC",2025,27,"Pipiens",9,42,5.8523,4.6667,0.8432,8.4902,0,0,0.0458,0,0,0.21
"NW","FC",2025,27,"Tarsalis",9,177,24.454,19.6667,3.6901,35.6433,0,0,0.0214,0,0,0.42
"NW","FC",2025,27,"All",9,219,18.8968,24.3333,11.9874,36.6792,0,0,0.0148,0,0,0.36
"NE","FC",2025,27,"Pipiens",10,65,11.9,6.5,0,13.8757,0,0,0.0332,0,0,0.22
"NE","FC",2025,27,"Tarsalis",10,473,40.8794,47.3,21.9627,72.6373,0.0021,1e-04,0.0102,0.1,0,0.48
"NE","FC",2025,27,"All",10,538,36.0101,53.8,31.4807,76.1193,0.0017,1e-04,0.0082,0.09,0.01,0.44
"SE","FC",2025,27,"Pipiens",15,63,4.5857,4.2,1.8793,6.5207,0,0,0.0136,0,0,0.06
"SE","FC",2025,27,"Tarsalis",15,948,63.9187,63.2,30.8527,95.5473,0.0033,9e-04,0.009,0.21,0.06,0.57
"SE","FC",2025,27,"All",15,1011,53.6914,67.4,40.2284,94.5716,0.0025,7e-04,0.0068,0.17,0.05,0.46
"SW","FC",2025,27,"Pipiens",9,42,5.4083,4.6667,1.1333,8.2001,0,0,0.0527,0,0,0.25
