"zone","year","week","spp","n_trap","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"BC",2022,26,"Tarsalis",5,82,16.4,0,0,0.28,0,0,4.592
"BC",2022,27,"Tarsalis",5,189,37.8,0,0,0.007,0,0,0.2646
"LV",2022,27,"Tarsalis",6,451,75.2,0,0,0.116,0,0,8.7232
"LV",2022,27,"Pipiens",6,7,1.2,0,0,0.004,0,0,0.0048
"NE",2022,27,"Tarsalis",10,357,35.7,0,0,0.05,0,0,1.785
"NE",2022,27,"Pipiens",10,195,19.5,0.002,0,0.008,0.039,0,0.156
"NW",2022,27,"Tarsalis",9,72,8,0,0,0.013,0,0,0.104
"LC",2022,27,"Tarsalis",4,171,42.8,0.004,0.001,0.011,0.1712,0.0428,0.4708
"WC",2022,27,"Tarsalis",1,5,5,0.01,0.001,0.044,0.05,0.005,0.22
"WC",2022,27,"Pipiens",1,1,1,0.008,0.003,0.016,0.008,0.003,0.016
"LC",2022,27,"Pipiens",4,3,0.8,0,0,0.02,0,0,0.016
"SE",2022,27,"Tarsalis",15,1405,93.7,0.003,0,0.012,0.2811,0,1.1244
"SE",2022,27,"Pipiens",15,36,2.4,0,0,0.022,0,0,0.0528
"NW",2022,27,"Pipiens",9,27,3,0.02,0.003,0.066,0.06,0.009,0.198
"SW",2022,27,"Tarsalis",9,111,12.3,0.005,0,0.023,0.0615,0,0.2829
"SW",2022,27,"Pipiens",9,6,0.7,0.005,0.001,0.016,0.0035,7e-04,0.0112
"LV",2022,28,"Tarsalis",6,809,134.8,0,0,0.028,0,0,3.7744
"LV",2022,28,"Pipiens",6,20,3.3,0.023,0.005,0.061,0.0759,0.0165,0.2013
"NE",2022,28,"Tarsalis",10,1398,139.8,0,0,0.025,0,0,3.495
"NE",2022,28,"Pipiens",10,297,29.7,0.017,0.001,0.084,0.5049,0.0297,2.4948
"NW",2022,28,"Tarsalis",9,445,49.4,0,0,0.038,0,0,1.8772
"SE",2022,28,"Tarsalis",15,1533,102.2,0,0,0.083,0,0,8.4826
"SE",2022,28,"Pipiens",15,59,3.9,0,0,0.023,0,0,0.0897
"NW",2022,28,"Pipiens",9,21,2.3,0,0,0.044,0,0,0.1012
"LC",2022,28,"Tarsalis",3,138,46,0,0,0.017,0,0,0.782
"LC",2022,28,"Pipiens",3,5,1.7,0,0,0.068,0,0,0.1156
"WC",2022,28,"Tarsalis",1,3,3,0,0,0.034,0,0,0.102
"SW",2022,28,"Tarsalis",9,447,49.7,0,0,0.012,0,0,0.5964
"SW",2022,28,"Pipiens",9,9,1,0,0,0.009,0,0,0.009
"BC",2022,28,"Tarsalis",5,175,35,0,0,0.008,0,0,0.28
"LV",2022,29,"Tarsalis",6,866,144.3,0,0,0.003,0,0,0.4329
"LV",2022,29,"Pipiens",6,48,8,0,0,0.006,0,0,0.048
"NE",2022,29,"Pipiens",10,389,38.9,0,0,0.003,0,0,0.1167
"NE",2022,29,"Tarsalis",10,1364,136.4,0.001,0,0.007,0.1364,0,0.9548
"NW",2022,29,"Tarsalis",9,427,47.4,0.002,0,0.01,0.0948,0,0.474
"SE",2022,29,"Tarsalis",15,1578,105.2,0,0,0.006,0,0,0.6312
"SE",2022,29,"Pipiens",15,69,4.6,0,0,0.005,0,0,0.023
"NW",2022,29,"Pipiens",9,50,5.6,0,0,0.003,0,0,0.0168
"LC",2022,29,"Tarsalis",4,448,112,0.003,0,0.013,0.336,0,1.456
"LC",2022,29,"Pipiens",4,12,3,0.004,0.001,0.009,0.012,0.003,0.027
"WC",2022,29,"Tarsalis",1,19,19,0.006,0.002,0.014,0.114,0.038,0.266
"SW",2022,29,"Tarsalis",9,431,47.9,0,0,0.002,0,0,0.0958
"SW",2022,29,"Pipiens",9,35,3.9,0.01,0.004,0.02,0.039,0.0156,0.078
"BC",2022,29,"Tarsalis",5,169,33.8,0.008,0.002,0.022,0.2704,0.0676,0.7436
"BC",2022,30,"Tarsalis",5,145,29,0.01,0.001,0.045,0.29,0.029,1.305
"LV",2022,30,"Tarsalis",6,737,122.8,0.002,0,0.009,0.2456,0,1.1052
"LV",2022,30,"Pipiens",6,209,34.8,0,0,0.025,0,0,0.87
"NE",2022,30,"Tarsalis",10,479,47.9,0.003,0.001,0.008,0.1437,0.0479,0.3832
"NE",2022,30,"Pipiens",10,676,67.6,0,0,0.06,0,0,4.056
"NW",2022,30,"Tarsalis",9,204,22.7,0,0,0.561,0,0,12.7347
"NW",2022,30,"Pipiens",9,61,6.8,0,0,0.167,0,0,1.1356
"SE",2022,30,"Tarsalis",15,698,46.5,0,0,0.114,0,0,5.301
"SE",2022,30,"Pipiens",15,184,12.3,0,0,0.036,0,0,0.4428
"LC",2022,30,"Tarsalis",4,135,33.8,0,0,0.231,0,0,7.8078
"LC",2022,30,"Pipiens",4,12,3,0,0,0.13,0,0,0.39
"WC",2022,30,"Tarsalis",1,12,12,0,0,0.036,0,0,0.432
"SW",2022,30,"Tarsalis",7,183,26.1,0,0,0.085,0,0,2.2185
"SW",2022,30,"Pipiens",7,20,2.9,0,0,0.058,0,0,0.1682
"BC",2022,31,"Tarsalis",5,136,27.2,0,0,0.04,0,0,1.088
"SW",2022,31,"Tarsalis",9,202,22.4,0,0,0.05,0,0,1.12
"SW",2022,31,"Pipiens",9,57,6.3,0,0,0.007,0,0,0.0441
"SE",2022,31,"Tarsalis",15,550,36.7,0,0,0.013,0,0,0.4771
"SE",2022,31,"Pipiens",15,268,17.9,0.002,0,0.011,0.0358,0,0.1969
"NE",2022,31,"Tarsalis",10,633,63.3,0,0,0.026,0,0,1.6458
"NE",2022,31,"Pipiens",10,451,45.1,0,0,0.015,0,0,0.6765
"NW",2022,31,"Tarsalis",9,284,31.6,0,0,0.033,0,0,1.0428
"NW",2022,31,"Pipiens",9,63,7,0,0,0.011,0,0,0.077
"LC",2022,31,"Tarsalis",4,271,67.8,0.011,0.001,0.048,0.7458,0.0678,3.2544
"LC",2022,31,"Pipiens",4,26,6.5,0,0,0.013,0,0,0.0845
"LV",2022,31,"Tarsalis",6,781,130.2,0,0,0.026,0,0,3.3852
"LV",2022,31,"Pipiens",6,111,18.5,0.007,0,0.033,0.1295,0,0.6105
"WC",2022,31,"Tarsalis",1,22,22,0.005,0,0.023,0.11,0,0.506
"BC",2022,32,"Tarsalis",5,91,18.2,0.005,0.001,0.015,0.091,0.0182,0.273
"SW",2022,32,"Tarsalis",9,604,67.1,0,0,0.028,0,0,1.8788
"SW",2022,32,"Pipiens",9,111,12.3,0.022,0.004,0.057,0.2706,0.0492,0.7011
"SE",2022,32,"Tarsalis",15,688,45.9,0.018,0.001,0.081,0.8262,0.0459,3.7179
"SE",2022,32,"Pipiens",15,300,20,0,0,0.105,0,0,2.1
"NE",2022,32,"Tarsalis",10,405,40.5,0,0,0.076,0,0,3.078
"NE",2022,32,"Pipiens",10,1324,132.4,0,0,0.212,0,0,28.0688
"NW",2022,32,"Tarsalis",9,233,25.9,0,0,0.035,0,0,0.9065
"NW",2022,32,"Pipiens",9,55,6.1,0,0,0.035,0,0,0.2135
"LC",2022,32,"Tarsalis",4,419,104.8,0,0,0.056,0,0,5.8688
"LC",2022,32,"Pipiens",4,55,13.8,0,0,0.035,0,0,0.483
"LV",2022,32,"Tarsalis",6,417,69.5,0,0,0.068,0,0,4.726
"LV",2022,32,"Pipiens",6,127,21.2,0,0,0.023,0,0,0.4876
"WC",2022,32,"Tarsalis",1,67,67,0,0,0.027,0,0,1.809
"BC",2022,33,"Tarsalis",5,38,7.6,0,0,0.009,0,0,0.0684
"LC",2022,33,"Pipiens",4,36,9,0,0,0.023,0,0,0.207
"WC",2022,33,"Pipiens",1,3,3,0,0,0.003,0,0,0.009
"LC",2022,33,"Tarsalis",4,86,21.5,0,0,0.021,0,0,0.4515
"WC",2022,33,"Tarsalis",1,24,24,0.002,0.001,0.005,0.048,0.024,0.12
"NE",2022,33,"Pipiens",10,955,95.5,0,0,0.01,0,0,0.955
"NW",2022,33,"Pipiens",9,100,11.1,0.003,0.001,0.006,0.0333,0.0111,0.0666
"SE",2022,33,"Pipiens",16,652,40.8,0.004,0,0.017,0.1632,0,0.6936
"SW",2022,33,"Pipiens",9,100,11.1,0.001,0,0.007,0.0111,0,0.0777
"NE",2022,33,"Tarsalis",10,787,78.7,0.012,0.004,0.026,0.9444,0.3148,2.0462
"NW",2022,33,"Tarsalis",9,156,17.3,0.002,0,0.009,0.0346,0,0.1557
"SE",2022,33,"Tarsalis",16,734,45.9,0,0,0.009,0,0,0.4131
"SW",2022,33,"Tarsalis",9,241,26.8,0.003,0.001,0.01,0.0804,0.0268,0.268
"LV",2022,33,"Pipiens",6,106,17.7,0.005,0.001,0.012,0.0885,0.0177,0.2124
"LV",2022,33,"Tarsalis",6,137,22.8,0.003,0.001,0.009,0.0684,0.0228,0.2052
"LV",2022,34,"Tarsalis",6,429,71.5,0.005,0.001,0.012,0.3575,0.0715,0.858
"LV",2022,34,"Pipiens",6,227,37.8,0.005,0.001,0.015,0.189,0.0378,0.567
"NE",2022,34,"Tarsalis",10,732,73.2,0.01,0.003,0.021,0.732,0.2196,1.5372
"NE",2022,34,"Pipiens",10,1480,148,0.025,0.009,0.055,3.7,1.332,8.14
"NW",2022,34,"Tarsalis",9,420,46.7,0.005,0.001,0.017,0.2335,0.0467,0.7939
"NW",2022,34,"Pipiens",9,140,15.6,0,0,0.051,0,0,0.7956
"SE",2022,34,"Tarsalis",14,463,33.1,0.002,0,0.011,0.0662,0,0.3641
"SE",2022,34,"Pipiens",14,407,29.1,0,0,0.076,0,0,2.2116
"LC",2022,34,"Tarsalis",4,138,34.5,0,0,0.658,0,0,22.701
"LC",2022,34,"Pipiens",4,43,10.8,0,0,0.113,0,0,1.2204
"WC",2022,34,"Tarsalis",1,7,7,0,0,0.328,0,0,2.296
"SW",2022,34,"Tarsalis",10,261,26.1,0,0,0.102,0,0,2.6622
"SW",2022,34,"Pipiens",10,431,43.1,0,0,0.345,0,0,14.8695
"BC",2022,34,"Tarsalis",5,36,7.2,0,0,0.116,0,0,0.8352
"BC",2022,35,"Pipiens",4,23,5.8,0,0,0.084,0,0,0.4872
"BC",2022,35,"Tarsalis",4,10,2.5,0,0,0.194,0,0,0.485
"LC",2022,35,"Pipiens",4,50,12.5,0,0,0.125,0,0,1.5625
"WC",2022,35,"Pipiens",1,1,1,0,0,0.026,0,0,0.026
"LC",2022,35,"Tarsalis",4,102,25.5,0.023,0.001,0.078,0.5865,0.0255,1.989
"WC",2022,35,"Tarsalis",1,11,11,0,0,0.007,0,0,0.077
"SW",2022,35,"Pipiens",9,72,8,0,0,0.025,0,0,0.2
"SE",2022,35,"Pipiens",15,460,30.7,0,0,0.008,0,0,0.2456
"NE",2022,35,"Pipiens",10,302,30.2,0,0,0.029,0,0,0.8758
"NW",2022,35,"Pipiens",9,65,7.2,0,0,0.016,0,0,0.1152
"SW",2022,35,"Tarsalis",9,99,11,0.011,0.002,0.034,0.121,0.022,0.374
"SE",2022,35,"Tarsalis",15,264,17.6,0.006,0,0.027,0.1056,0,0.4752
"NE",2022,35,"Tarsalis",10,110,11,0.008,0,0.035,0.088,0,0.385
"NW",2022,35,"Tarsalis",9,96,10.7,0.002,0,0.008,0.0214,0,0.0856
"LV",2022,35,"Pipiens",6,80,13.3,0.008,0,0.04,0.1064,0,0.532
"LV",2022,35,"Tarsalis",6,188,31.3,0,0,0.013,0,0,0.4069
"BC",2022,36,"Tarsalis",4,13,3.2,0.012,0.004,0.029,0.0384,0.0128,0.0928
"BC",2022,36,"Pipiens",4,7,1.8,0.009,0.002,0.031,0.0162,0.0036,0.0558
"LV",2022,36,"Tarsalis",4,76,19,0.035,0.007,0.109,0.665,0.133,2.071
"LV",2022,36,"Pipiens",4,96,24,0,0,0.029,0,0,0.696
"NW",2022,36,"Tarsalis",8,25,3.1,0,0,0.058,0,0,0.1798
"NW",2022,36,"Pipiens",8,31,3.9,0,0,0.122,0,0,0.4758
"SW",2022,36,"Pipiens",8,12,1.5,0,0,0.049,0,0,0.0735
"SW",2022,36,"Tarsalis",8,20,2.5,0,0,0.057,0,0,0.1425
"NE",2022,36,"Tarsalis",9,121,13.4,0,0,0.271,0,0,3.6314
"NE",2022,36,"Pipiens",9,482,53.6,0,0,0.793,0,0,42.5048
"SE",2022,36,"Tarsalis",15,60,4,0,0,0.793,0,0,3.172
"SE",2022,36,"Pipiens",15,314,20.9,0,0,0.271,0,0,5.6639
"SE",2022,37,"Tarsalis",15,39,2.6,0,0,0.409,0,0,1.0634
"SE",2022,37,"Pipiens",15,395,26.3,0,0,0.08,0,0,2.104
"SW",2022,37,"Tarsalis",8,41,5.1,0,0,0.123,0,0,0.6273
"SW",2022,37,"Pipiens",8,25,3.1,0,0,0.069,0,0,0.2139
"NE",2022,37,"Tarsalis",10,49,4.9,0,0,0.029,0,0,0.1421
"NE",2022,37,"Pipiens",10,1157,115.7,0,0,0.409,0,0,47.3213
"NW",2022,37,"Pipiens",9,31,3.4,0,0,0.064,0,0,0.2176
"NW",2022,37,"Tarsalis",9,11,1.2,0,0,0.202,0,0,0.2424
"BC",2022,37,"Tarsalis",4,14,3.5,0,0,0.793,0,0,2.7755
"BC",2022,37,"Pipiens",4,10,2.5,0,0,0.134,0,0,0.335
