"csu_id","trap_id","zone","year","week","trap_date","method","spp","total","test_code","cq","copies","seq","notes"
"CSU24346","LC-059","BE",2025,32,2025-08-06,"L","Tarsalis",42,1,24.26,17386.94,0,
"CSU24347","LC-059","BE",2025,32,2025-08-06,"L","Pipiens",2,0,55.55,0,0,
"CSU24348","WC-055","BE",2025,32,2025-08-06,"L","Tarsalis",50,0,55.55,0,0,
"CSU24349","WC-055","BE",2025,32,2025-08-06,"L","Tarsalis",35,0,55.55,0,0,
"CSU24350","WC-055","BE",2025,32,2025-08-06,"L","Pipiens",4,0,55.55,0,0,
"CSU24351","FC-052","NW",2025,32,2025-08-06,"L","Tarsalis",28,0,55.55,0,0,
"CSU24352","FC-052","NW",2025,32,2025-08-06,"L","Pipiens",8,0,55.55,0,0,
"CSU24353","FC-073","NW",2025,32,2025-08-06,"L","Tarsalis",4,0,55.55,0,0,
"CSU24354","LC-049","BE",2025,32,2025-08-06,"L","Tarsalis",50,0,55.55,0,0,
"CSU24355","LC-049","BE",2025,32,2025-08-06,"L","Tarsalis",50,0,55.55,0,0,
"CSU24356","LC-049","BE",2025,32,2025-08-06,"L","Tarsalis",50,0,31.37,169.43,0,
"CSU24357","LC-049","BE",2025,32,2025-08-06,"L","Tarsalis",37,0,55.55,0,0,
"CSU24358","LC-049","BE",2025,32,2025-08-06,"L","Pipiens",8,0,55.55,0,0,
"CSU24359","FC-090GR","NW",2025,32,2025-08-06,"G","Pipiens",36,1,23.43,33069.79,0,
"CSU24360","FC-041","NW",2025,32,2025-08-06,"L","Tarsalis",29,0,55.55,0,0,
"CSU24361","FC-041","NW",2025,32,2025-08-06,"L","Pipiens",4,0,55.55,0,0,
"CSU24362","FC-061","NW",2025,32,2025-08-06,"L","Tarsalis",50,1,21.76,112099.1,0,
"CSU24363","FC-061","NW",2025,32,2025-08-06,"L","Tarsalis",50,0,55.55,0,0,
"CSU24364","FC-061","NW",2025,32,2025-08-06,"L","Tarsalis",23,1,23.44,30635.17,0,
"CSU24365","FC-061","NW",2025,32,2025-08-06,"L","Pipiens",30,1,24.32,17988.02,0,
"CSU24366","FC-060","NW",2025,32,2025-08-06,"L","Tarsalis",25,0,55.55,0,0,
"CSU24367","FC-060","NW",2025,32,2025-08-06,"L","Pipiens",5,0,55.55,0,0,
"CSU24368","FC-063","NW",2025,32,2025-08-06,"L","Tarsalis",8,0,55.55,0,0,
"CSU24369","FC-011","NW",2025,32,2025-08-06,"L","Tarsalis",13,0,55.55,0,0,
"CSU24370","FC-011","NW",2025,32,2025-08-06,"L","Pipiens",3,0,55.55,0,0,
"CSU24371","FC-063GR","NW",2025,32,2025-08-06,"G","Pipiens",50,0,30.5,358.71,0,
"CSU24372","FC-063GR","NW",2025,32,2025-08-06,"G","Pipiens",22,0,55.55,0,0,
"CSU24373","FC-015","NW",2025,32,2025-08-06,"L","Tarsalis",20,0,55.55,0,0,
"CSU24374","FC-015","NW",2025,32,2025-08-06,"L","Pipiens",5,0,55.55,0,0,
"CSU24375","FC-058","SW",2025,32,2025-08-06,"L","Tarsalis",43,0,55.55,0,0,
"CSU24376","FC-058","SW",2025,32,2025-08-06,"L","Pipiens",6,0,55.55,0,0,
"CSU24377","FC-049","SW",2025,32,2025-08-06,"L","Tarsalis",47,0,33.93,50.36,0,
"CSU24378","FC-049","SW",2025,32,2025-08-06,"L","Pipiens",50,0,31.55,133.94,0,
"CSU24287","LV-089","LV",2025,32,2025-08-05,"L","Tarsalis",20,0,55.55,0,0,
"CSU24288","LV-089","LV",2025,32,2025-08-05,"L","Pipiens",6,0,55.55,0,0,
"CSU24289","LV-104","LV",2025,32,2025-08-05,"L","Tarsalis",50,0,29.27,359.96,0,
"CSU24290","LV-104","LV",2025,32,2025-08-05,"L","Tarsalis",31,0,55.55,0,0,
"CSU24291","LV-104","LV",2025,32,2025-08-05,"L","Pipiens",21,0,55.55,0,0,
"CSU24292","LV-110","LV",2025,32,2025-08-05,"L","Tarsalis",50,1,24.42,19718.23,0,
"CSU24293","LV-110","LV",2025,32,2025-08-05,"L","Tarsalis",36,1,23.88,33467.75,0,
"CSU24294","LV-110","LV",2025,32,2025-08-05,"L","Pipiens",10,0,55.55,0,0,
"CSU24295","FC-064","SE",2025,32,2025-08-05,"L","Tarsalis",32,0,55.55,0,0,
"CSU24296","FC-064","SE",2025,32,2025-08-05,"L","Pipiens",4,0,55.55,0,0,
"CSU24297","FC-053","SE",2025,32,2025-08-05,"L","Tarsalis",15,0,55.55,0,0,
"CSU24298","FC-075GR","SE",2025,32,2025-08-05,"G","Pipiens",50,1,27.27,1956.76,0,
"CSU24299","FC-075GR","SE",2025,32,2025-08-05,"G","Pipiens",3,0,55.55,0,0,
"CSU24300","FC-075","SE",2025,32,2025-08-05,"L","Tarsalis",12,0,55.55,0,0,
"CSU24301","FC-075","SE",2025,32,2025-08-05,"L","Pipiens",10,0,55.55,0,0,
"CSU24302","FC-074","SE",2025,32,2025-08-05,"L","Tarsalis",32,0,55.55,0,0,
"CSU24303","FC-074","SE",2025,32,2025-08-05,"L","Pipiens",3,0,55.55,0,0,
"CSU24304","FC-027","SE",2025,32,2025-08-05,"L","Tarsalis",2,0,55.55,0,0,
"CSU24305","FC-004","SE",2025,32,2025-08-05,"L","Tarsalis",35,0,55.55,0,0,
"CSU24306","FC-004","SE",2025,32,2025-08-05,"L","Pipiens",11,0,55.55,0,0,
"CSU24307","FC-059","SE",2025,32,2025-08-05,"L","Tarsalis",10,0,55.55,0,0,
"CSU24308","FC-059","SE",2025,32,2025-08-05,"L","Pipiens",2,0,55.55,0,0,
"CSU24309","FC-088GR","SE",2025,32,2025-08-05,"G","Pipiens",50,1,22.9,70665.41,0,
"CSU24310","FC-088GR","SE",2025,32,2025-08-05,"G","Pipiens",50,1,24.93,16398.73,0,
"CSU24311","FC-088GR","SE",2025,32,2025-08-05,"G","Pipiens",50,0,55.55,0,0,
"CSU24312","FC-088GR","SE",2025,32,2025-08-05,"G","Pipiens",50,1,25.97,5822.69,0,
"CSU24313","FC-088GR","SE",2025,32,2025-08-05,"G","Pipiens",1,0,55.55,0,0,
"CSU24314","FC-023","SE",2025,32,2025-08-05,"L","Tarsalis",34,0,55.55,0,0,
"CSU24315","FC-023","SE",2025,32,2025-08-05,"L","Pipiens",3,0,55.55,0,0,
"CSU24316","FC-050","SE",2025,32,2025-08-05,"L","Tarsalis",10,0,55.55,0,0,
"CSU24317","FC-050","SE",2025,32,2025-08-05,"L","Pipiens",10,0,55.55,0,0,
"CSU24318","FC-046","SE",2025,32,2025-08-05,"L","Tarsalis",50,1,22.94,71290.09,0,
"CSU24319","FC-046","SE",2025,32,2025-08-05,"L","Tarsalis",7,0,55.55,0,0,
"CSU24320","FC-046","SE",2025,32,2025-08-05,"L","Pipiens",12,0,55.55,0,0,
"CSU24321","FC-031","SE",2025,32,2025-08-05,"L","Tarsalis",29,0,55.55,0,0,
"CSU24322","FC-031","SE",2025,32,2025-08-05,"L","Pipiens",11,0,55.55,0,0,
"CSU24323","FC-047","SE",2025,32,2025-08-05,"L","Tarsalis",50,1,29,509.07,0,
"CSU24324","FC-047","SE",2025,32,2025-08-05,"L","Tarsalis",14,0,55.55,0,0,
"CSU24325","FC-047","SE",2025,32,2025-08-05,"L","Pipiens",7,0,55.55,0,0,
"BOU00303","BC-11","BC",2025,32,2025-08-04,"L","Tarsalis",1,0,55.55,0,0,
"BOU00304","BC-22","BC",2025,32,2025-08-04,"L","Tarsalis",6,0,55.55,0,0,
"BOU00305","BC-24","BC",2025,32,2025-08-04,"L","Tarsalis",35,1,20.57,239561.81,0,
"BOU00306","BC-25","BC",2025,32,2025-08-04,"L","Tarsalis",43,0,55.55,0,0,
"BOU00307","BC-26","BC",2025,32,2025-08-04,"L","Tarsalis",50,1,19.2,674305.56,0,
"BOU00308","BC-26","BC",2025,32,2025-08-04,"L","Tarsalis",27,0,55.55,0,0,
"BOU00309","BC-13","BC",2025,32,2025-08-04,"L","Tarsalis",50,1,20.2,305300.16,0,
"CSU24257","LV-069","LV",2025,32,2025-08-04,"L","Tarsalis",11,0,55.55,0,0,
"CSU24258","LV-095","LV",2025,32,2025-08-04,"L","Tarsalis",50,0,55.55,0,0,
"CSU24259","LV-095","LV",2025,32,2025-08-04,"L","Tarsalis",8,0,55.55,0,0,
"CSU24260","LV-095","LV",2025,32,2025-08-04,"L","Pipiens",4,0,55.55,0,0,
"CSU24261","FC-038","NE",2025,32,2025-08-04,"L","Tarsalis",6,0,55.55,0,0,
"CSU24262","FC-038","NE",2025,32,2025-08-04,"L","Pipiens",1,0,55.55,0,0,
"CSU24263","FC-034","NE",2025,32,2025-08-04,"L","Tarsalis",16,0,55.55,0,0,
"CSU24264","FC-069","NE",2025,32,2025-08-04,"L","Tarsalis",11,0,55.55,0,0,
"CSU24265","FC-069","NE",2025,32,2025-08-04,"L","Pipiens",2,0,55.55,0,0,
"CSU24266","FC-040GR","NE",2025,32,2025-08-04,"G","Pipiens",5,0,34.11,11.72,0,
"CSU24267","FC-040","NE",2025,32,2025-08-04,"L","Tarsalis",28,0,55.55,0,0,
"CSU24268","FC-040","NE",2025,32,2025-08-04,"L","Pipiens",3,0,55.55,0,0,
"CSU24269","FC-006","NE",2025,32,2025-08-04,"L","Pipiens",7,0,55.55,0,0,
"CSU24270","FC-036","NW",2025,32,2025-08-04,"L","Tarsalis",44,0,55.55,0,0,
"CSU24271","FC-036","NW",2025,32,2025-08-04,"L","Pipiens",24,0,29.55,310.55,0,
"CSU24272","FC-092GR","NE",2025,32,2025-08-04,"G","Tarsalis",1,0,55.55,0,0,
"CSU24273","FC-092GR","NE",2025,32,2025-08-04,"G","Pipiens",50,0,30.93,113.51,0,
"CSU24274","FC-092GR","NE",2025,32,2025-08-04,"G","Pipiens",12,1,26.45,3566.36,0,
"CSU24275","FC-072","NE",2025,32,2025-08-04,"L","Tarsalis",44,0,55.55,0,0,
"CSU24276","FC-072","NE",2025,32,2025-08-04,"L","Pipiens",16,1,22.3,118572.39,0,
"CSU24277","FC-091GR","NE",2025,32,2025-08-04,"G","Pipiens",23,1,25.94,6638.37,0,
"CSU24278","FC-019","NE",2025,32,2025-08-04,"L","Tarsalis",19,0,55.55,0,0,
"CSU24279","FC-019","NE",2025,32,2025-08-04,"L","Pipiens",8,0,55.55,0,0,
"CSU24280","FC-066GR","NE",2025,32,2025-08-04,"G","Pipiens",1,0,55.55,0,0,
"CSU24281","FC-067","NE",2025,32,2025-08-04,"L","Tarsalis",50,1,27.02,2354.08,0,
"CSU24282","FC-067","NE",2025,32,2025-08-04,"L","Tarsalis",25,0,55.55,0,0,
"CSU24283","FC-067","NE",2025,32,2025-08-04,"L","Pipiens",32,0,55.55,0,0,
"CSU24284","FC-014","NE",2025,32,2025-08-04,"L","Tarsalis",29,0,55.55,0,0,
"CSU24285","FC-014","NE",2025,32,2025-08-04,"L","Pipiens",50,0,55.55,0,0,
"CSU24286","FC-014","NE",2025,32,2025-08-04,"L","Pipiens",46,0,55.55,0,0,
"CSU24238","FC-029","SE",2025,31,2025-07-31,"L","Tarsalis",3,0,38.54,0.77,0,
"CSU24239","FC-029","SE",2025,31,2025-07-31,"L","Pipiens",1,0,55.55,0,0,
"CSU24240","FC-054","SE",2025,31,2025-07-31,"L","Tarsalis",25,0,55.55,0,0,
"CSU24241","FC-054","SE",2025,31,2025-07-31,"L","Pipiens",12,0,55.55,0,0,
"CSU24242","FC-029GR","SE",2025,31,2025-07-31,"G","Pipiens",16,0,31.14,139.62,0,
"CSU24243","FC-068","SW",2025,31,2025-07-31,"L","Tarsalis",3,0,55.55,0,0,
"CSU24244","FC-068","SW",2025,31,2025-07-31,"L","Pipiens",2,0,55.55,0,0,
"CSU24245","FC-093","SW",2025,31,2025-07-31,"L","Tarsalis",30,0,55.55,0,0,
"CSU24246","FC-093","SW",2025,31,2025-07-31,"L","Pipiens",8,0,55.55,0,0,
"CSU24247","FC-062","SW",2025,31,2025-07-31,"L","Tarsalis",20,0,55.55,0,0,
"CSU24248","FC-062","SW",2025,31,2025-07-31,"L","Pipiens",15,0,55.55,0,0,
"CSU24249","FC-089GR","SW",2025,31,2025-07-31,"G","Pipiens",34,1,20.64,222879.8,0,
"CSU24250","FC-071","SW",2025,31,2025-07-31,"L","Tarsalis",1,0,55.55,0,0,
"CSU24251","FC-071","SW",2025,31,2025-07-31,"L","Pipiens",2,0,33.42,28.07,0,
"CSU24252","FC-057","SW",2025,31,2025-07-31,"L","Tarsalis",14,0,38.86,0.62,0,
"CSU24253","FC-057","SW",2025,31,2025-07-31,"L","Pipiens",1,0,55.55,0,0,
"CSU24254","FC-037","SW",2025,31,2025-07-31,"L","Tarsalis",50,0,55.55,0,0,
"CSU24255","FC-037","SW",2025,31,2025-07-31,"L","Tarsalis",22,0,55.55,0,0,
"CSU24256","FC-037","SW",2025,31,2025-07-31,"L","Pipiens",14,0,30.91,164.01,0,
"CSU24196","LC-049","BE",2025,31,2025-07-30,"L","Tarsalis",8,0,55.55,0,0,
"CSU24197","LC-060","BE",2025,31,2025-07-30,"L","Tarsalis",50,0,55.55,0,0,
"CSU24198","LC-060","BE",2025,31,2025-07-30,"L","Tarsalis",19,0,55.55,0,0,
"CSU24199","LC-060","BE",2025,31,2025-07-30,"L","Pipiens",1,0,35.48,3.14,0,
"CSU24200","WC-055","BE",2025,31,2025-07-30,"L","Tarsalis",50,0,55.55,0,0,
"CSU24201","WC-055","BE",2025,31,2025-07-30,"L","Tarsalis",10,0,55.55,0,0,
"CSU24202","WC-055","BE",2025,31,2025-07-30,"L","Pipiens",2,0,55.55,0,0,
"CSU24203","LC-054","BE",2025,31,2025-07-30,"L","Tarsalis",19,0,55.55,0,0,
"CSU24204","LC-054","BE",2025,31,2025-07-30,"L","Pipiens",1,0,33.82,10.23,0,
"CSU24205","LC-061","BE",2025,31,2025-07-30,"L","Tarsalis",20,0,37.58,0.71,0,
"CSU24206","LC-062","BE",2025,31,2025-07-30,"L","Tarsalis",26,0,55.55,0,0,
"CSU24207","LC-053","BE",2025,31,2025-07-30,"L","Tarsalis",50,0,36.45,1.57,0,
"CSU24208","LC-053","BE",2025,31,2025-07-30,"L","Tarsalis",1,0,36.87,1.17,0,
"CSU24209","LC-053","BE",2025,31,2025-07-30,"L","Pipiens",1,0,55.55,0,0,
"CSU24210","LV-020","LV",2025,31,2025-07-30,"L","Tarsalis",50,1,21.93,47585.83,0,
"CSU24211","LV-020","LV",2025,31,2025-07-30,"L","Tarsalis",50,0,31.76,90.03,0,
"CSU24212","LV-020","LV",2025,31,2025-07-30,"L","Tarsalis",2,0,55.55,0,0,
"CSU24213","LV-020","LV",2025,31,2025-07-30,"L","Pipiens",10,0,55.55,0,0,
"CSU24214","LC-058","BE",2025,31,2025-07-30,"L","Tarsalis",50,0,32.95,39.01,0,
"CSU24215","LC-058","BE",2025,31,2025-07-30,"L","Tarsalis",4,1,21.81,98310,0,
"CSU24216","LC-058","BE",2025,31,2025-07-30,"L","Pipiens",3,0,55.55,0,0,
"CSU24217","FC-052","NW",2025,31,2025-07-30,"L","Tarsalis",3,0,55.55,0,0,
"CSU24218","FC-052","NW",2025,31,2025-07-30,"L","Pipiens",2,0,55.55,0,0,
"CSU24219","LC-001","BE",2025,31,2025-07-30,"L","Tarsalis",48,1,25.65,6605.83,0,
"CSU24220","LC-001","BE",2025,31,2025-07-30,"L","Pipiens",4,0,55.55,0,0,
"CSU24221","FC-061","NW",2025,31,2025-07-30,"L","Tarsalis",43,0,55.55,0,0,
"CSU24222","FC-061","NW",2025,31,2025-07-30,"L","Pipiens",6,0,55.55,0,0,
"CSU24223","LC-059","BE",2025,31,2025-07-30,"L","Tarsalis",50,1,21.15,156187.12,0,
"CSU24224","LC-059","BE",2025,31,2025-07-30,"L","Tarsalis",13,1,24.05,20398.5,0,
"CSU24225","LC-059","BE",2025,31,2025-07-30,"L","Pipiens",3,0,36.54,3.15,0,
"CSU24226","FC-073","NW",2025,31,2025-07-30,"L","Tarsalis",35,0,55.55,0,0,
"CSU24227","FC-063","NW",2025,31,2025-07-30,"L","Tarsalis",4,0,55.55,0,0,
"CSU24228","FC-063","NW",2025,31,2025-07-30,"L","Pipiens",2,0,55.55,0,0,
"CSU24229","FC-011","NW",2025,31,2025-07-30,"L","Tarsalis",4,0,55.55,0,0,
"CSU24230","FC-011","NW",2025,31,2025-07-30,"L","Pipiens",2,0,55.55,0,0,
"CSU24231","FC-090GR","NW",2025,31,2025-07-30,"G","Pipiens",30,1,24.81,11965.62,0,
"CSU24232","FC-015","NW",2025,31,2025-07-30,"L","Tarsalis",6,0,55.55,0,0,
"CSU24233","FC-049","SW",2025,31,2025-07-30,"L","Tarsalis",16,0,55.55,0,0,
"CSU24234","FC-049","SW",2025,31,2025-07-30,"L","Pipiens",13,0,55.55,0,0,
"CSU24235","FC-058","SW",2025,31,2025-07-30,"L","Tarsalis",19,0,55.55,0,0,
"CSU24236","FC-058","SW",2025,31,2025-07-30,"L","Pipiens",6,0,55.55,0,0,
"CSU24237","FC-063GR","NW",2025,31,2025-07-30,"G","Pipiens",19,1,26.44,3802.75,0,
"CSU24161","LV-110","LV",2025,31,2025-07-29,"L","Tarsalis",22,1,18.3,631585.06,0,
"CSU24162","LV-110","LV",2025,31,2025-07-29,"L","Pipiens",1,0,55.55,0,0,
"CSU24163","LV-089","LV",2025,31,2025-07-29,"L","Tarsalis",5,0,55.55,0,0,
"CSU24164","FC-031","SE",2025,31,2025-07-29,"L","Tarsalis",1,0,37.73,0.64,0,
"CSU24165","LV-104","LV",2025,31,2025-07-29,"L","Tarsalis",17,1,21.62,59661.55,0,
"CSU24166","FC-039","SE",2025,31,2025-07-29,"L","Tarsalis",20,0,55.55,0,0,
"CSU24167","FC-039","SE",2025,31,2025-07-29,"L","Pipiens",4,0,55.55,0,0,
"CSU24168","FC-047","SE",2025,31,2025-07-29,"L","Tarsalis",46,0,55.55,0,0,
"CSU24169","FC-047","SE",2025,31,2025-07-29,"L","Pipiens",1,0,35.8,2.5,0,
"CSU24170","FC-053","SE",2025,31,2025-07-29,"L","Tarsalis",47,0,55.55,0,0,
"CSU24171","FC-053","SE",2025,31,2025-07-29,"L","Pipiens",3,0,55.55,0,0,
"CSU24172","FC-064","SE",2025,31,2025-07-29,"L","Tarsalis",50,1,24.4,8271.69,0,
"CSU24173","FC-064","SE",2025,31,2025-07-29,"L","Tarsalis",7,0,55.55,0,0,
"CSU24174","FC-064","SE",2025,31,2025-07-29,"L","Pipiens",9,0,55.55,0,0,
"CSU24175","FC-074","SE",2025,31,2025-07-29,"L","Tarsalis",39,1,24.37,8414.7,0,
"CSU24176","FC-074","SE",2025,31,2025-07-29,"L","Pipiens",9,0,55.55,0,0,
"CSU24177","FC-004","SE",2025,31,2025-07-29,"L","Tarsalis",16,0,55.55,0,0,
"CSU24178","FC-004","SE",2025,31,2025-07-29,"L","Pipiens",6,0,55.55,0,0,
"CSU24179","FC-075","SE",2025,31,2025-07-29,"L","Tarsalis",50,0,55.55,0,0,
"CSU24180","FC-075","SE",2025,31,2025-07-29,"L","Tarsalis",20,0,55.55,0,0,
"CSU24181","FC-075","SE",2025,31,2025-07-29,"L","Pipiens",26,0,55.55,0,0,
"CSU24182","FC-088GR","SE",2025,31,2025-07-29,"G","Tarsalis",1,0,34.64,5.71,0,
"CSU24183","FC-088GR","SE",2025,31,2025-07-29,"G","Pipiens",50,0,31.25,63.23,0,
"CSU24184","FC-088GR","SE",2025,31,2025-07-29,"G","Pipiens",50,0,30.24,129.64,0,
"CSU24185","FC-088GR","SE",2025,31,2025-07-29,"G","Pipiens",50,0,30.72,92.19,0,
"CSU24186","FC-088GR","SE",2025,31,2025-07-29,"G","Pipiens",16,1,25.17,4777.99,0,
"CSU24187","FC-027","SE",2025,31,2025-07-29,"L","Tarsalis",50,1,26.96,1333.84,0,
"CSU24188","FC-027","SE",2025,31,2025-07-29,"L","Tarsalis",31,0,55.55,0,0,
"CSU24189","FC-027","SE",2025,31,2025-07-29,"L","Pipiens",22,1,25.06,5145.63,0,
"CSU24190","FC-050","SE",2025,31,2025-07-29,"L","Tarsalis",15,0,55.55,0,0,
"CSU24191","FC-050","SE",2025,31,2025-07-29,"L","Pipiens",7,0,38.5,0.37,0,
"CSU24192","FC-059","SE",2025,31,2025-07-29,"L","Tarsalis",17,0,55.55,0,0,
"CSU24193","FC-059","SE",2025,31,2025-07-29,"L","Pipiens",1,0,55.55,0,0,
"CSU24194","FC-075GR","SE",2025,31,2025-07-29,"G","Pipiens",50,0,28.6,415.81,0,
"CSU24195","FC-075GR","SE",2025,31,2025-07-29,"G","Pipiens",11,0,36.02,2.13,0,
"BOU00297","BC-11","BC",2025,31,2025-07-28,"L","Tarsalis",1,0,55.55,0,0,
"BOU00298","BC-22","BC",2025,31,2025-07-28,"L","Tarsalis",9,0,55.55,0,0,
"BOU00299","BC-24","BC",2025,31,2025-07-28,"L","Tarsalis",29,0,55.55,0,0,
"BOU00300","BC-25","BC",2025,31,2025-07-28,"L","Tarsalis",4,0,55.55,0,0,
"BOU00301","BC-26","BC",2025,31,2025-07-28,"L","Tarsalis",8,0,55.55,0,0,
"BOU00302","BC-14","BC",2025,31,2025-07-28,"L","Tarsalis",50,0,55.55,0,0,
"CSU24124","LV-069","LV",2025,31,2025-07-28,"L","Tarsalis",6,0,55.55,0,0,
"CSU24125","LV-069","LV",2025,31,2025-07-28,"L","Pipiens",4,0,55.55,0,0,
"CSU24126","LV-095","LV",2025,31,2025-07-28,"L","Tarsalis",50,0,31.03,74.23,0,
"CSU24127","LV-095","LV",2025,31,2025-07-28,"L","Tarsalis",27,0,55.55,0,0,
"CSU24128","LV-095","LV",2025,31,2025-07-28,"L","Pipiens",1,0,55.55,0,0,
"CSU24129","FC-069","NE",2025,31,2025-07-28,"L","Tarsalis",16,1,21,92543.86,0,
"CSU24130","FC-034","NE",2025,31,2025-07-28,"L","Tarsalis",4,0,55.55,0,0,
"CSU24131","FC-006","NE",2025,31,2025-07-28,"L","Tarsalis",18,0,55.55,0,0,
"CSU24132","FC-006","NE",2025,31,2025-07-28,"L","Pipiens",4,0,55.55,0,0,
"CSU24133","FC-040GR","NE",2025,31,2025-07-28,"G","Pipiens",48,0,55.55,0,0,
"CSU24134","FC-040","NE",2025,31,2025-07-28,"L","Tarsalis",50,0,55.55,0,0,
"CSU24135","FC-040","NE",2025,31,2025-07-28,"L","Tarsalis",15,0,55.55,0,0,
"CSU24136","FC-040","NE",2025,31,2025-07-28,"L","Pipiens",8,0,55.55,0,0,
"CSU24137","FC-072","NE",2025,31,2025-07-28,"L","Tarsalis",10,0,55.55,0,0,
"CSU24138","FC-092GR","NE",2025,31,2025-07-28,"G","Tarsalis",3,0,55.55,0,0,
"CSU24139","FC-092GR","NE",2025,31,2025-07-28,"G","Pipiens",50,1,20.77,108791.99,0,
"CSU24140","FC-092GR","NE",2025,31,2025-07-28,"G","Pipiens",6,0,55.55,0,0,
"CSU24141","FC-036","NW",2025,31,2025-07-28,"L","Tarsalis",50,0,55.55,0,0,
"CSU24142","FC-036","NW",2025,31,2025-07-28,"L","Tarsalis",50,1,28.1,593.53,0,
"CSU24143","FC-036","NW",2025,31,2025-07-28,"L","Tarsalis",50,0,28.46,460.02,0,
"CSU24144","FC-036","NW",2025,31,2025-07-28,"L","Tarsalis",50,0,55.55,0,0,
"CSU24145","FC-036","NW",2025,31,2025-07-28,"L","Tarsalis",33,0,55.55,0,0,
"CSU24146","FC-036","NW",2025,31,2025-07-28,"L","Pipiens",14,0,55.55,0,0,
"CSU24147","FC-091GR","NE",2025,31,2025-07-28,"G","Pipiens",50,0,28.67,397.68,0,
"CSU24148","FC-091GR","NE",2025,31,2025-07-28,"G","Pipiens",15,0,55.55,0,0,
