week,zone,spp,abund_old,n_old,abund_new,n_new,abund_delta
33,SE,Pipiens,26.15555555555555,90,24.622222222222227,90,-1.5333333333333243
25,NW,Tarsalis,5.98181818181818,55,4.50909090909091,55,-1.47272727272727
23,NE,Tarsalis,3.964285714285714,56,2.6785714285714284,56,-1.2857142857142856
27,NE,Tarsalis,57.72857142857145,70,56.61428571428571,70,-1.1142857142857423
30,LV,Pipiens,11.533333333333335,30,10.482758620689657,29,-1.0505747126436784
27,LV,Pipiens,6.666666666666667,30,5.666666666666667,30,-1
34,LV,Pipiens,17.6,30,18.566666666666666,30,0.966666666666665
24,NE,Pipiens,1.8428571428571432,70,0.9107142857142857,56,-0.9321428571428575
33,NW,Tarsalis,9.690909090909093,55,10.545454545454543,55,0.8545454545454501
29,LV,Pipiens,4.172413793103448,29,4.966666666666666,30,0.7942528735632175
25,LV,Pipiens,1.6333333333333335,30,1,30,-0.6333333333333335
34,NE,Tarsalis,17.52857142857143,70,18.142857142857146,70,0.6142857142857174
34,SE,Tarsalis,17.352272727272734,88,16.81818181818182,88,-0.5340909090909136
33,LV,Pipiens,13.800000000000002,30,13.266666666666667,30,-0.533333333333335
27,NW,Pipiens,10.036363636363639,55,10.563636363636364,55,0.5272727272727256
24,LV,Tarsalis,24.551724137931036,29,24.034482758620683,29,-0.5172413793103523
31,NW,Pipiens,11.981818181818186,55,11.472727272727276,55,-0.5090909090909097
31,LV,Pipiens,8.633333333333333,30,8.133333333333333,30,-0.5
31,NW,Tarsalis,19.32727272727273,55,18.927272727272726,55,-0.4000000000000057
32,NW,Pipiens,14.436363636363636,55,14.836363636363632,55,0.3999999999999968
26,NW,Pipiens,6.814814814814817,54,6.4444444444444455,54,-0.3703703703703711
23,NE,Pipiens,1.0535714285714284,56,0.7142857142857143,56,-0.3392857142857141
33,NW,Pipiens,13.018181818181814,55,13.309090909090907,55,0.2909090909090928
25,NW,Pipiens,3.018181818181818,55,2.745454545454545,55,-0.27272727272727293
24,NW,Pipiens,1.763636363636363,55,2.0227272727272725,44,0.2590909090909095
24,NW,Tarsalis,2.5090909090909097,55,2.318181818181818,44,-0.1909090909090918
29,NW,Pipiens,21.48148148148149,54,21.29629629629629,54,-0.1851851851852011
32,LV,Pipiens,12.633333333333335,30,12.800000000000002,30,0.16666666666666785
32,NW,Tarsalis,15.98181818181818,55,15.854545454545454,55,-0.12727272727272698
23,NW,Tarsalis,1.7272727272727273,44,1.6136363636363638,44,-0.11363636363636354
30,NW,Pipiens,15.537037037037036,54,15.629629629629633,54,0.092592592592597
24,LV,Pipiens,0.3103448275862069,29,0.37931034482758613,29,0.06896551724137923
28,LV,Pipiens,5.3,30,5.366666666666666,30,0.06666666666666643
30,NE,Tarsalis,69.28571428571428,70,69.34285714285713,70,0.057142857142849834
28,NW,Pipiens,14.320754716981135,53,14.283018867924525,53,-0.03773584905660954
23,NW,Pipiens,0.9545454545454545,44,0.9318181818181819,44,-0.022727272727272596
23,LV,Pipiens,0.26666666666666666,30,0.2666666666666667,30,5.551115123125783e-17
23,BC,Pipiens,NA,0,NA,0,0
23,BC,Tarsalis,NA,0,NA,0,0
23,BE,Pipiens,0.05714285714285713,35,0.05714285714285713,35,0
23,BE,Tarsalis,6.2285714285714295,35,6.2285714285714295,35,0
23,SE,Pipiens,1.422535211267606,71,1.422535211267606,71,0
23,SE,Tarsalis,2.7323943661971826,71,2.7323943661971826,71,0
23,SW,Pipiens,0.8999999999999998,40,0.8999999999999998,40,0
23,SW,Tarsalis,2.2999999999999994,40,2.2999999999999994,40,0
24,BC,Pipiens,0,46,0,46,0
24,BC,Tarsalis,3.347826086956521,46,3.347826086956521,46,0
24,BE,Pipiens,0.2571428571428571,35,0.2571428571428571,35,0
24,BE,Tarsalis,16.65714285714286,35,16.65714285714286,35,0
24,SE,Pipiens,3.125,72,3.125,72,0
24,SE,Tarsalis,4.513888888888889,72,4.513888888888889,72,0
24,SW,Pipiens,1.9000000000000001,40,1.9000000000000001,40,0
24,SW,Tarsalis,2.5,40,2.5,40,0
25,BC,Pipiens,0.0879120879120879,91,0.0879120879120879,91,0
25,BC,Tarsalis,6.263736263736265,91,6.263736263736265,91,0
25,BE,Pipiens,0.6285714285714287,35,0.6285714285714287,35,0
25,BE,Tarsalis,26.65714285714286,35,26.65714285714286,35,0
25,SE,Pipiens,4.022222222222224,90,4.022222222222224,90,0
25,SE,Tarsalis,17.95555555555556,90,17.95555555555556,90,0
25,SW,Pipiens,2.020408163265306,49,2.020408163265306,49,0
25,SW,Tarsalis,4.061224489795919,49,4.061224489795919,49,0
26,BC,Pipiens,0.2477876106194689,113,0.2477876106194689,113,0
26,BC,Tarsalis,5,113,5,113,0
26,BE,Pipiens,2.057142857142857,35,2.057142857142857,35,0
26,BE,Tarsalis,135.5142857142857,35,135.5142857142857,35,0
26,SE,Pipiens,4.808988764044946,89,4.808988764044946,89,0
26,SE,Tarsalis,50.87640449438203,89,50.87640449438203,89,0
26,SW,Pipiens,3.6399999999999997,50,3.6399999999999997,50,0
26,SW,Tarsalis,21.479999999999997,50,21.479999999999997,50,0
27,BC,Pipiens,0.4122807017543861,114,0.4122807017543861,114,0
27,BC,Tarsalis,8.956140350877186,114,8.956140350877186,114,0
27,BE,Pipiens,2.9411764705882355,34,2.9411764705882355,34,0
27,BE,Tarsalis,158.91176470588238,34,158.91176470588238,34,0
27,SE,Pipiens,10.550561797752808,89,10.550561797752808,89,0
27,SE,Tarsalis,96.02247191011234,89,96.02247191011234,89,0
27,SW,Pipiens,3.7799999999999994,50,3.7799999999999994,50,0
27,SW,Tarsalis,20.84,50,20.84,50,0
28,BC,Pipiens,0.2608695652173914,115,0.2608695652173914,115,0
28,BC,Tarsalis,14.530434782608694,115,14.530434782608694,115,0
28,BE,Pipiens,8.457142857142859,35,8.457142857142859,35,0
28,BE,Tarsalis,208.17142857142858,35,208.17142857142858,35,0
28,SE,Pipiens,18.900000000000002,90,18.900000000000002,90,0
28,SE,Tarsalis,134.1222222222222,90,134.1222222222222,90,0
28,SW,Pipiens,6.6530612244897975,49,6.6530612244897975,49,0
28,SW,Tarsalis,76.61224489795919,49,76.61224489795919,49,0
29,BC,Pipiens,0.8521739130434779,115,0.8521739130434779,115,0
29,BC,Tarsalis,16.947826086956518,115,16.947826086956518,115,0
29,BE,Pipiens,4.8,35,4.8,35,0
29,BE,Tarsalis,191.57142857142858,35,191.57142857142858,35,0
29,SE,Pipiens,17.831460674157306,89,17.831460674157306,89,0
29,SE,Tarsalis,128.3258426966292,89,128.3258426966292,89,0
29,SW,Pipiens,11.14,50,11.14,50,0
29,SW,Tarsalis,66.06,50,66.06,50,0
30,BC,Pipiens,0.6347826086956524,115,0.6347826086956524,115,0
30,BC,Tarsalis,13.295652173913043,115,13.295652173913043,115,0
30,BE,Pipiens,6.171428571428572,35,6.171428571428572,35,0
30,BE,Tarsalis,91.45714285714286,35,91.45714285714286,35,0
30,SW,Pipiens,10.229166666666668,48,10.229166666666668,48,0
30,SW,Tarsalis,39.77083333333333,48,39.77083333333333,48,0
31,BC,Pipiens,0.6086956521739125,115,0.6086956521739125,115,0
31,BC,Tarsalis,10.521739130434783,115,10.521739130434783,115,0
31,BE,Pipiens,7.428571428571427,35,7.428571428571427,35,0
31,BE,Tarsalis,61.857142857142854,35,61.857142857142854,35,0
31,SE,Pipiens,20.95505617977528,89,20.95505617977528,89,0
31,SE,Tarsalis,51.65168539325844,89,51.65168539325844,89,0
31,SW,Pipiens,17.679999999999996,50,17.679999999999996,50,0
31,SW,Tarsalis,15.540000000000004,50,15.540000000000004,50,0
32,BC,Pipiens,0.4869565217391303,115,0.4869565217391303,115,0
32,BC,Tarsalis,9.886956521739126,115,9.886956521739126,115,0
32,BE,Pipiens,8.685714285714287,35,8.685714285714287,35,0
32,BE,Tarsalis,71.97142857142858,35,71.97142857142858,35,0
32,SE,Pipiens,21.573033707865157,89,21.573033707865157,89,0
32,SE,Tarsalis,24.707865168539325,89,24.707865168539325,89,0
32,SW,Pipiens,15.361702127659575,47,15.361702127659575,47,0
32,SW,Tarsalis,24.468085106382976,47,24.468085106382976,47,0
33,BC,Pipiens,0.7304347826086955,115,0.7304347826086955,115,0
33,BC,Tarsalis,7.02608695652174,115,7.02608695652174,115,0
33,BE,Pipiens,8.257142857142856,35,8.257142857142856,35,0
33,BE,Tarsalis,44.6,35,44.6,35,0
33,SW,Pipiens,15.260000000000003,50,15.260000000000003,50,0
33,SW,Tarsalis,16.700000000000006,50,16.700000000000006,50,0
34,BC,Pipiens,0.530434782608696,115,0.530434782608696,115,0
34,BC,Tarsalis,4.730434782608695,115,4.730434782608695,115,0
34,BE,Pipiens,8.82857142857143,35,8.82857142857143,35,0
34,BE,Tarsalis,36.028571428571425,35,36.028571428571425,35,0
34,NW,Pipiens,15.854545454545455,55,15.854545454545455,55,0
34,NW,Tarsalis,12.27272727272727,55,12.27272727272727,55,0
34,SW,Pipiens,14.880000000000003,50,14.880000000000003,50,0
34,SW,Tarsalis,12.579999999999997,50,12.579999999999997,50,0
35,BC,Pipiens,1.1217391304347823,115,1.1217391304347823,115,0
35,BC,Tarsalis,0.8869565217391306,115,0.8869565217391306,115,0
35,BE,Pipiens,6.2857142857142865,35,6.2857142857142865,35,0
35,BE,Tarsalis,10.428571428571427,35,10.428571428571427,35,0
35,LV,Pipiens,10.2,30,10.2,30,0
35,LV,Tarsalis,21.56666666666667,30,21.56666666666667,30,0
35,NE,Pipiens,21.057142857142857,70,21.057142857142857,70,0
35,NE,Tarsalis,4.157142857142857,70,4.157142857142857,70,0
35,NW,Pipiens,9.218181818181819,55,9.218181818181819,55,0
35,NW,Tarsalis,3.6909090909090914,55,3.6909090909090914,55,0
35,SE,Pipiens,17.677777777777777,90,17.677777777777777,90,0
35,SE,Tarsalis,7.322222222222222,90,7.322222222222222,90,0
35,SW,Pipiens,8.040000000000003,50,8.040000000000003,50,0
35,SW,Tarsalis,4.720000000000001,50,4.720000000000001,50,0
36,BC,Pipiens,0.34782608695652173,115,0.34782608695652173,115,0
36,BC,Tarsalis,0.9739130434782609,115,0.9739130434782609,115,0
36,BE,Pipiens,NA,0,NA,0,0
36,BE,Tarsalis,NA,0,NA,0,0
36,LV,Pipiens,8.941176470588236,17,8.941176470588236,17,0
36,LV,Tarsalis,7.647058823529411,17,7.647058823529411,17,0
36,NE,Pipiens,29.985507246376823,69,29.985507246376823,69,0
36,NE,Tarsalis,4.36231884057971,69,4.36231884057971,69,0
36,NW,Pipiens,8.698113207547168,53,8.698113207547168,53,0
36,NW,Tarsalis,1.7547169811320755,53,1.7547169811320755,53,0
36,SE,Pipiens,13.97727272727273,88,13.97727272727273,88,0
36,SE,Tarsalis,3.8522727272727275,88,3.8522727272727275,88,0
36,SW,Pipiens,3.12,50,3.12,50,0
36,SW,Tarsalis,2.8600000000000003,50,2.8600000000000003,50,0
37,BC,Pipiens,1.102941176470588,68,1.102941176470588,68,0
37,BC,Tarsalis,3.1176470588235294,68,3.1176470588235294,68,0
37,BE,Pipiens,NA,0,NA,0,0
37,BE,Tarsalis,NA,0,NA,0,0
37,LV,Pipiens,NA,0,NA,0,0
37,LV,Tarsalis,NA,0,NA,0,0
37,NE,Pipiens,36.56363636363637,55,36.56363636363637,55,0
37,NE,Tarsalis,2.290909090909091,55,2.290909090909091,55,0
37,NW,Pipiens,4.0227272727272725,44,4.0227272727272725,44,0
37,NW,Tarsalis,0.7727272727272726,44,0.7727272727272726,44,0
37,SE,Pipiens,11.342857142857143,70,11.342857142857143,70,0
37,SE,Tarsalis,1.5,70,1.5,70,0
37,SW,Pipiens,2.5897435897435894,39,2.5897435897435894,39,0
37,SW,Tarsalis,1.9743589743589745,39,1.9743589743589745,39,0
